category,Average ReordSeen,Minimum ReordSeen,Maximum ReordSeen,Median ReordSeen
1 Feb 2022,0.25,0.25,0.25,0.25
2 Feb 2022,0,0,0.0139,0
3 Feb 2022,0.0417,0.0417,0.0417,0.0417
4 Feb 2022,0,0,0,0
5 Feb 2022,0,0,0,0
6 Feb 2022,0,0,0,0
7 Feb 2022,0.0682,0.0682,0.0909,0.0682
8 Feb 2022,0.0164,0.0164,0.0164,0.0164
9 Feb 2022,0.0189,0,0.0566,0.0189
10 Feb 2022,0,0,0,0
11 Feb 2022,0,0,0,0
12 Feb 2022,0,0,0,0
13 Feb 2022,0,0,0,0
14 Feb 2022,0.037,0,0.0556,0.037
15 Feb 2022,0.0476,0.0238,0.0476,0.0476
16 Feb 2022,0.039,0.039,0.039,0.039
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,0.0294,0,0.0588,0.0294
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,0.0638,0.0638,0.0638,0.0638
25 Feb 2022,0,0,0,0
26 Feb 2022,0,0,0,0
27 Feb 2022,0,0,0,0
28 Feb 2022,0.0313,0,0.0938,0.0313
