category,Average SndMSS,Minimum SndMSS,Maximum SndMSS,Median SndMSS
1 Feb 2022,1392.5455,1392.5455,1392.5455,1392.5455
2 Feb 2022,1374.1667,1374.1667,1374.1667,1374.1667
3 Feb 2022,1370.1667,1370.1667,1370.1667,1370.1667
4 Feb 2022,1376.1538,1376.1538,1376.1538,1376.1538
5 Feb 2022,1338,1338,1338,1338
6 Feb 2022,1338,1338,1338,1338
7 Feb 2022,1360.2727,1360.2727,1360.2727,1360.2727
8 Feb 2022,1355.7377,1355.7377,1355.7377,1355.7377
9 Feb 2022,1360.2264,1360.2264,1360.2264,1360.2264
10 Feb 2022,1348.4789,1348.4789,1348.4789,1348.4789
11 Feb 2022,1363.5294,1363.5294,1363.5294,1363.5294
12 Feb 2022,1338,1338,1338,1338
13 Feb 2022,1338,1338,1338,1338
14 Feb 2022,1377.037,1377.037,1377.037,1377.037
15 Feb 2022,1377.7143,1377.7143,1377.7143,1377.7143
16 Feb 2022,1374.5195,1374.5195,1374.5195,1374.5195
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,1378.1176,1378.1176,1378.1176,1378.1176
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,1352.9787,1352.9787,1352.9787,1352.9787
25 Feb 2022,1348.85,1348.85,1348.85,1348.85
26 Feb 2022,1338,1338,1338,1338
27 Feb 2022,1338,1338,1338,1338
28 Feb 2022,1396.125,1396.125,1396.125,1396.125
