category,Average Unacked,Minimum Unacked,Maximum Unacked,Median Unacked
1 Feb 2022,96.7727,16.0455,238.5,104
2 Feb 2022,74.25,20.4167,182.9583,78.8611
3 Feb 2022,80.1633,27.6939,161.449,87.1224
4 Feb 2022,114.2308,34,231.2308,109.5385
5 Feb 2022,272.1613,30.9032,558.7742,374.1935
6 Feb 2022,350.0238,19.3095,762.3571,514.9286
7 Feb 2022,363.8605,20.2558,793.9535,608.6279
8 Feb 2022,286.1967,20.6066,607.0656,449.0328
9 Feb 2022,243.5,20.5769,506.4808,372.2692
10 Feb 2022,189.3239,23.9859,403.2958,276.5775
11 Feb 2022,81.375,21.75,177.6875,93.5625
12 Feb 2022,60.3846,23.1154,99.1923,67.1923
13 Feb 2022,46.9412,21.0588,73.7059,46.1765
14 Feb 2022,164.4259,28.4815,375.3704,182.2407
15 Feb 2022,87.2,17.6,219.15,80.45
16 Feb 2022,97.9103,19.6282,259.5897,94.0513
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,146.8824,26.8529,339.5,155.1176
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,168.2667,32.9333,328.5556,167.6444
25 Feb 2022,175.8718,25.4872,367.7179,178.4615
26 Feb 2022,162.0968,26.5161,304.0323,180.871
27 Feb 2022,127.7843,31.7843,235.3137,145.7647
28 Feb 2022,100.3226,18.9355,282.8387,82.1935
