category,Average Sacked,Minimum Sacked,Maximum Sacked,Median Sacked
1 Feb 2022,0,0,0,0
2 Feb 2022,0,0,0.0278,0
3 Feb 2022,0,0,0,0
4 Feb 2022,0,0,0.1538,0
5 Feb 2022,0,0,0,0
6 Feb 2022,0,0,0,0
7 Feb 2022,0,0,0.1136,0
8 Feb 2022,0,0,0.0492,0
9 Feb 2022,0,0,0.0943,0
10 Feb 2022,0,0,0.0563,0
11 Feb 2022,0,0,0.1765,0
12 Feb 2022,0,0,0,0
13 Feb 2022,0,0,0,0
14 Feb 2022,0,0,0.1481,0
15 Feb 2022,0.0238,0,0.5476,0.119
16 Feb 2022,0,0,0,0
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,0,0,0.1471,0
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,0,0,0.1702,0.0426
25 Feb 2022,0,0,0.05,0
26 Feb 2022,0.1563,0,1,0.4688
27 Feb 2022,0.0204,0,0.2857,0
28 Feb 2022,0,0,0.0625,0
