category,Average RTO,Minimum RTO,Maximum RTO,Median RTO
1 Jan 2022,322762.381,243809.5238,421333.3333,343047.619
2 Jan 2022,288649.9048,237523.8095,379428.5714,292952.381
3 Jan 2022,259980.2692,211692.3077,484000,280615.3846
4 Jan 2022,264144.7143,219174.6032,411238.0952,276761.9048
5 Jan 2022,249746.869,216714.2857,360476.1905,238690.4762
6 Jan 2022,269020.6933,219946.6667,421493.3333,271706.6667
7 Jan 2022,261128.6552,216275.8621,359724.1379,279103.4483
8 Jan 2022,274933.3913,228695.6522,369913.0435,284956.5217
9 Jan 2022,329681.2857,242428.5714,485714.2857,331928.5714
10 Jan 2022,308935.825,236900,464100,316050
11 Jan 2022,275676.3429,222742.8571,361028.5714,273771.4286
12 Jan 2022,280064.5556,227506.1728,409382.716,280567.9012
13 Jan 2022,352433.6087,247826.087,552521.7391,332521.7391
14 Jan 2022,350836.5909,249272.7273,491636.3636,373363.6364
15 Jan 2022,364795.3333,247733.3333,502933.3333,380800
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,338197.5526,234421.0526,517789.4737,365210.5263
19 Jan 2022,299435.3488,235906.9767,433581.3953,297023.2558
20 Jan 2022,340386.6429,291142.8571,433857.1429,371428.5714
21 Jan 2022,411803.9444,324666.6667,563333.3333,456777.7778
22 Jan 2022,293643.1515,240848.4848,403393.9394,292212.1212
23 Jan 2022,358942.1739,252956.5217,585913.0435,328956.5217
24 Jan 2022,336997.32,253360,576240,364080
25 Jan 2022,360852.9091,246303.0303,552484.8485,385696.9697
26 Jan 2022,358999.194,266268.6567,546149.2537,366835.8209
27 Jan 2022,333971.7826,242608.6957,551913.0435,354956.5217
28 Jan 2022,351548.05,271800,596000,367500
29 Jan 2022,508013.8605,364744.186,746511.6279,496139.5349
30 Jan 2022,298369.0185,239407.4074,400074.0741,303037.037
31 Jan 2022,258482.5,220000,340800,276200
