category,Average ATO,Minimum ATO,Maximum ATO,Median ATO
1 Jan 2022,40000,40000,40000,40000
2 Jan 2022,40000,40000,40000,40000
3 Jan 2022,40000,40000,40000,40000
4 Jan 2022,40024.5238,40000,40380.9524,40000
5 Jan 2022,40000,40000,40000,40000
6 Jan 2022,40008,40000,40160,40000
7 Jan 2022,40000,40000,40000,40000
8 Jan 2022,40000,40000,40000,40000
9 Jan 2022,40000,40000,40000,40000
10 Jan 2022,40000,40000,40000,40000
11 Jan 2022,40000,40000,40000,40000
12 Jan 2022,40000,40000,40000,40000
13 Jan 2022,40000,40000,40000,40000
14 Jan 2022,40000,40000,40000,40000
15 Jan 2022,40000,40000,40000,40000
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,40000,40000,40000,40000
19 Jan 2022,40033.8372,40000,40372.093,40000
20 Jan 2022,40011.4286,40000,40142.8571,40000
21 Jan 2022,40008.5556,40000,40222.2222,40000
22 Jan 2022,40030.9242,40000,40484.8485,40000
23 Jan 2022,40000,40000,40000,40000
24 Jan 2022,40060,40000,40400,40080
25 Jan 2022,40000,40000,40000,40000
26 Jan 2022,40008.9552,40000,40179.1045,40000
27 Jan 2022,40017.8261,40000,40347.8261,40000
28 Jan 2022,40000,40000,40000,40000
29 Jan 2022,40000,40000,40000,40000
30 Jan 2022,40010.0926,40000,40222.2222,40000
31 Jan 2022,40000,40000,40000,40000
