category,Average RcvMSS,Minimum RcvMSS,Maximum RcvMSS,Median RcvMSS
1 Jan 2022,536,536,536,536
2 Jan 2022,536,536,536,536
3 Jan 2022,536,536,536,536
4 Jan 2022,536,536,536,536
5 Jan 2022,536,536,536,536
6 Jan 2022,536,536,536,536
7 Jan 2022,536,536,536,536
8 Jan 2022,536,536,536,536
9 Jan 2022,536,536,536,536
10 Jan 2022,536,536,536,536
11 Jan 2022,556.6,556.6,556.6,556.6
12 Jan 2022,536,536,536,536
13 Jan 2022,536,536,536,536
14 Jan 2022,540.0909,540.0909,540.0909,540.0909
15 Jan 2022,536,536,536,536
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,544.3947,544.3947,544.3947,544.3947
19 Jan 2022,536,536,536,536
20 Jan 2022,536,536,536,536
21 Jan 2022,536,536,536,536
22 Jan 2022,536,536,536,536
23 Jan 2022,536,536,536,536
24 Jan 2022,536,536,536,536
25 Jan 2022,536,536,536,536
26 Jan 2022,536,536,536,536
27 Jan 2022,536,536,536,536
28 Jan 2022,536,536,536,536
29 Jan 2022,536,536,536,536
30 Jan 2022,536,536,536,536
31 Jan 2022,536,536,536,536
