category,Average Unacked,Minimum Unacked,Maximum Unacked,Median Unacked
1 Jan 2022,88.2381,32.6667,148.3333,103.2381
2 Jan 2022,89.7143,30.8571,146.2381,91.381
3 Jan 2022,68.3462,12.2308,245.8462,43.6154
4 Jan 2022,71.6349,23.8571,215.2063,61.6825
5 Jan 2022,61.1071,17.7857,194.2857,44.8333
6 Jan 2022,61.7467,18.0667,173.6267,50.9333
7 Jan 2022,47.6897,12.8966,149,40.2414
8 Jan 2022,70.1304,25.0435,171.3043,69.4783
9 Jan 2022,88.7857,26.5714,156.5357,94.4286
10 Jan 2022,85.225,32.3,149.625,95.125
11 Jan 2022,79.6857,25.5429,233.1714,65.0571
12 Jan 2022,101.0123,31.4321,231.5802,99.284
13 Jan 2022,71.3913,26.6522,160.2174,67.8261
14 Jan 2022,75.4545,34.0455,129.7727,78.2273
15 Jan 2022,48.8667,23.3333,75.3333,49.1333
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,110.3684,32.2895,222.3684,107.5263
19 Jan 2022,100.2791,31.3953,172.7209,107.3953
20 Jan 2022,147.8929,45.4286,307.9643,215.7857
21 Jan 2022,181.6111,31,393.5556,262.8889
22 Jan 2022,132.5909,48.6667,214.9242,138.8333
23 Jan 2022,114.3261,36.3696,201.3478,132.6522
24 Jan 2022,118.62,34.12,216.2,135.08
25 Jan 2022,76.5758,21.8485,143.9091,71.3333
26 Jan 2022,51.6716,18.9403,97.0896,55.5075
27 Jan 2022,78.8696,26.2391,152.413,90.7174
28 Jan 2022,113.7,18.55,247.6,102.3
29 Jan 2022,63.814,16.5349,117.1395,70.093
30 Jan 2022,80.4444,35.9815,123.037,80.3704
31 Jan 2022,72.7,22.6,177.2,73.1
