category,Average Unacked,Minimum Unacked,Maximum Unacked,Median Unacked
1 Jan 2022,0.4762,0,3.9048,0.7143
2 Jan 2022,0.2381,0,2.6667,0.3333
3 Jan 2022,0,0,1.2692,0
4 Jan 2022,0.2667,0,1.9667,0.1167
5 Jan 2022,0.1548,0,1.5,0.1071
6 Jan 2022,0.2267,0,1.6267,0.2267
7 Jan 2022,0.069,0,0.7931,0.0345
8 Jan 2022,0.3043,0,2.3043,0.3043
9 Jan 2022,0.8214,0,4.3571,1.0714
10 Jan 2022,0.475,0,3.725,0.5
11 Jan 2022,0.1714,0,2.1143,0.2571
12 Jan 2022,0.2222,0,2.5556,0.2222
13 Jan 2022,0.3913,0,2.9565,0.087
14 Jan 2022,0.3182,0,3.1364,0.2727
15 Jan 2022,0.5455,0,3.8636,0.6818
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,0.4211,0,2.9737,0.5526
19 Jan 2022,0.1628,0,2.7209,0.3488
20 Jan 2022,0.6786,0,3.9643,0.6071
21 Jan 2022,1.3333,0,5.6667,1.5556
22 Jan 2022,0.3788,0,3.2273,0.5
23 Jan 2022,0.4565,0,3.4565,0.2826
24 Jan 2022,1.06,0,5.2,1.24
25 Jan 2022,0.6061,0,3.4545,0.6061
26 Jan 2022,0.5672,0,3.7612,0.6567
27 Jan 2022,0.3617,0,2.766,0.5106
28 Jan 2022,0.2,0,1.65,0.1
29 Jan 2022,0.9524,0,4.9286,1.2619
30 Jan 2022,0.7407,0,4.3148,0.8704
31 Jan 2022,0.1,0,1.4,0
