category,Average Sacked,Minimum Sacked,Maximum Sacked,Median Sacked
1 Jan 2022,2.9048,0,25.5238,5.8095
2 Jan 2022,1.6667,0,22.4286,0
3 Jan 2022,7.0769,0,55.3077,4.7692
4 Jan 2022,4.6508,0,31.381,4.8413
5 Jan 2022,3.4881,0,31.3095,2.8452
6 Jan 2022,4.4667,0,38.5467,4.1867
7 Jan 2022,3.2414,0,23.4138,2.3103
8 Jan 2022,2.2609,0,33.6522,2.6522
9 Jan 2022,3.1786,0,33.5714,1.8214
10 Jan 2022,2.3,0,26.2,5.575
11 Jan 2022,3.5429,0,33.6,3.2571
12 Jan 2022,5.2716,0,47.9012,7.7407
13 Jan 2022,2.087,0,21.6087,5.5217
14 Jan 2022,2.1818,0,25.6818,1.6364
15 Jan 2022,0.6,0,7.4667,0
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,7.1316,0,48.7105,9.9474
19 Jan 2022,2.093,0,18.9767,1.3488
20 Jan 2022,13.25,0,103.6786,48.8571
21 Jan 2022,18.6667,0,137.8889,45.1111
22 Jan 2022,2.2727,0,29.9848,2.3788
23 Jan 2022,4.6739,0,40.2826,11.3913
24 Jan 2022,7.06,0,41.42,7.8
25 Jan 2022,4.4848,0,41.5455,2.1212
26 Jan 2022,1.4925,0,17.5522,2.9403
27 Jan 2022,4.0652,0,36.6304,7.6739
28 Jan 2022,4.5,0,44.8,0.3
29 Jan 2022,10.0465,0,41.814,5.3721
30 Jan 2022,1.0926,0,11.5185,2.1667
31 Jan 2022,2,0,30,10.8
