category,Average Lost,Minimum Lost,Maximum Lost,Median Lost
1 Jan 2022,0.381,0,3.4286,1.5238
2 Jan 2022,0.381,0,3,0
3 Jan 2022,2.1923,0,19.6154,1.6538
4 Jan 2022,1.381,0,12.1429,1.2222
5 Jan 2022,1.2857,0,14.381,0.9524
6 Jan 2022,0.9733,0,10.7333,1.0667
7 Jan 2022,0.8276,0,6,0.5517
8 Jan 2022,0.2609,0,3.7391,0.3478
9 Jan 2022,0.0714,0,1.25,0.6071
10 Jan 2022,0.175,0,2.625,0.425
11 Jan 2022,1.0571,0,9.7429,1.0571
12 Jan 2022,0.9877,0,8.5679,1.5185
13 Jan 2022,0.3913,0,2.9565,0.6087
14 Jan 2022,0.1364,0,2,0.0455
15 Jan 2022,0,0,0.2667,0
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,1.5263,0,11.4211,1.2368
19 Jan 2022,0.7442,0,8.1163,0.8372
20 Jan 2022,5.3571,0,41.8571,16.4643
21 Jan 2022,5.9444,0,48.7778,16.0556
22 Jan 2022,0.4848,0,4.6667,1.4394
23 Jan 2022,0.9783,0,8.3261,4.0652
24 Jan 2022,1.32,0,8.88,1.06
25 Jan 2022,0.3333,0,3.697,0.1818
26 Jan 2022,0.1493,0,1.6866,0.3881
27 Jan 2022,0.3261,0,3.3913,0.3478
28 Jan 2022,0.9,0,9.55,0.1
29 Jan 2022,1.4884,0,8,0.814
30 Jan 2022,0.0185,0,0.6296,0.0741
31 Jan 2022,0.2,0,2.2,0.3
