category,Average PMTU,Minimum PMTU,Maximum PMTU,Median PMTU
1 Jan 2022,64076,64076,64076,64076
2 Jan 2022,64076,64076,64076,64076
3 Jan 2022,64076,64076,64076,64076
4 Jan 2022,64076,64076,64076,64076
5 Jan 2022,64076,64076,64076,64076
6 Jan 2022,64076,64076,64076,64076
7 Jan 2022,64076,64076,64076,64076
8 Jan 2022,64076,64076,64076,64076
9 Jan 2022,64076,64076,64076,64076
10 Jan 2022,64076,64076,64076,64076
11 Jan 2022,64076,64076,64076,64076
12 Jan 2022,64076,64076,64076,64076
13 Jan 2022,64076,64076,64076,64076
14 Jan 2022,64076,64076,64076,64076
15 Jan 2022,64076,64076,64076,64076
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,64076,64076,64076,64076
19 Jan 2022,64076,64076,64076,64076
20 Jan 2022,64076,64076,64076,64076
21 Jan 2022,64076,64076,64076,64076
22 Jan 2022,64076,64076,64076,64076
23 Jan 2022,64076,64076,64076,64076
24 Jan 2022,64076,64076,64076,64076
25 Jan 2022,64076,64076,64076,64076
26 Jan 2022,64076,64076,64076,64076
27 Jan 2022,64076,64076,64076,64076
28 Jan 2022,64076,64076,64076,64076
29 Jan 2022,64076,64076,64076,64076
30 Jan 2022,64076,64076,64076,64076
31 Jan 2022,64076,64076,64076,64076
