category,Average PMTU,Minimum PMTU,Maximum PMTU,Median PMTU
1 Jan 2022,332214.9048,77034.6667,385375.8095,362636.9524
2 Jan 2022,480525.8571,123460.9524,529731.0476,529511.619
3 Jan 2022,371880.8846,308738.1538,387518.3077,373124.7692
4 Jan 2022,289857.9333,184865.7333,299487.4667,297595.9333
5 Jan 2022,263550.369,204766.8571,274087.7619,268235.0238
6 Jan 2022,349941.6,223032.1067,383175.68,369692.5067
7 Jan 2022,342152.5862,239859.0345,351332,344283.5862
8 Jan 2022,436915.6087,151010.4348,476337.2174,475321.1304
9 Jan 2022,372119.4286,84760.8571,423184.4286,419353.7143
10 Jan 2022,438545.325,100807.5,533062.1,477246
11 Jan 2022,322491.4857,130836,349263.3143,349220.6857
12 Jan 2022,260333.3704,143380.6914,293782.1235,278231.4815
13 Jan 2022,530580.3913,190770.7826,603172.5217,601898.087
14 Jan 2022,680682.9091,205535.2727,776289.6364,768453.6364
15 Jan 2022,338046.0455,108022.7273,379978,374502.1818
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,155915.3158,120251.6842,157546.8421,157470.6316
19 Jan 2022,169402.9535,99575.7209,176196,175754.8372
20 Jan 2022,382006.4643,71199.4286,432401.4286,428773.7143
21 Jan 2022,1038025,71285.7778,1299755.7778,1276504.8889
22 Jan 2022,138235.9091,67046.7273,154119.9394,150091.3939
23 Jan 2022,207701.6304,65796.1739,244471.3913,237291.087
24 Jan 2022,375461.1,123783.44,520829.12,412088.56
25 Jan 2022,281255.1818,135636.7273,312592.2424,293289.5758
26 Jan 2022,336793.8209,129396.1194,454542.6269,347487.8209
27 Jan 2022,271184.6809,115037.4468,292138.2128,290503.9149
28 Jan 2022,582263.85,335904.4,634777.4,604709.1
29 Jan 2022,549344.381,137898.381,788113.7143,550035.619
30 Jan 2022,578267.1296,145462.8148,925518.963,598909.2222
31 Jan 2022,530848.5,165337.2,626733.2,559861.2
