category,Average RTT,Minimum RTT,Maximum RTT,Median RTT
1 Jan 2022,111030.0476,40082.7619,211995.6667,136621.1429
2 Jan 2022,85414.5238,35561.8571,169117.7143,89020.9524
3 Jan 2022,22227.5769,7236.8077,86631.4231,27283.3077
4 Jan 2022,41751.0794,16202.1587,110320.8889,51764.5079
5 Jan 2022,36577.0119,14346.3929,99446.6548,32443.8333
6 Jan 2022,49124.6133,17252.6933,131864.6533,46484.08
7 Jan 2022,34377.7931,11302.7931,95979.5517,44632.8966
8 Jan 2022,72640.087,26728.4348,159822.087,83570.4348
9 Jan 2022,123248.1071,40420.1786,271142.6071,124884.3571
10 Jan 2022,101345.975,34360.375,222731.375,111478.925
11 Jan 2022,59450.3143,20450.0857,129430.0286,60696.9143
12 Jan 2022,67539.963,24343.1111,172537.7654,71634.7531
13 Jan 2022,108142.7391,38601.5217,212794.5217,91762.8696
14 Jan 2022,120239.9091,42504.5455,231026.9091,134344.7273
15 Jan 2022,133723.1333,40869.3333,248410.5333,156942.6667
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,103409.4474,31226.1053,229573.4211,124283.6842
19 Jan 2022,87564.5116,33660.7442,188362.0233,89714.0233
20 Jan 2022,126238.3571,78964.1786,221035.3571,162746.7143
21 Jan 2022,174717.0556,109239.6111,291905.2222,219172.3333
22 Jan 2022,89662.3788,38164.0758,191629.5758,89555.3333
23 Jan 2022,110612.4348,47158.5435,228118.7174,118967.0435
24 Jan 2022,113634.72,45253.78,267694.14,139355.74
25 Jan 2022,90242,32013.1818,192473.6364,95647.5758
26 Jan 2022,115110.1642,40822.5821,227972.1791,114858.5224
27 Jan 2022,104473.4565,38653.913,234813.5435,109451.6304
28 Jan 2022,84895.35,50063.55,165949.35,95514
29 Jan 2022,186476.4651,78212.7209,365073.3953,189997.7674
30 Jan 2022,95020.8519,37136.1852,193675.8333,99828.1667
31 Jan 2022,46591.1,16845.9,101518.8,51571.1
