category,Average Reordering,Minimum Reordering,Maximum Reordering,Median Reordering
1 Jan 2022,3,3,3,3
2 Jan 2022,3,3,3,3
3 Jan 2022,3,3,3,3
4 Jan 2022,3,3,3,3
5 Jan 2022,3,3,3,3
6 Jan 2022,3,3,3,3
7 Jan 2022,3.0345,3,3.1724,3
8 Jan 2022,3,3,3,3
9 Jan 2022,3,3,3,3
10 Jan 2022,3,3,3,3
11 Jan 2022,3,3,3,3
12 Jan 2022,3.0123,3,3.2099,3
13 Jan 2022,3,3,3,3
14 Jan 2022,3,3,3,3
15 Jan 2022,3,3,3,3
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,3.0526,3.0263,3.1053,3.0263
19 Jan 2022,3,3,3,3
20 Jan 2022,3.1786,3,3.3214,3.1786
21 Jan 2022,4.6111,3,5.5,5.5
22 Jan 2022,3.3333,3,4.2879,3
23 Jan 2022,3.8261,3,5.1522,3.9783
24 Jan 2022,3,3,3,3
25 Jan 2022,3.0909,3.0909,3.0909,3.0909
26 Jan 2022,3,3,3,3
27 Jan 2022,3,3,3,3
28 Jan 2022,3,3,3,3
29 Jan 2022,3.3953,3,3.814,3.3488
30 Jan 2022,3,3,3,3
31 Jan 2022,3,3,3,3
