category,Average Reordering,Minimum Reordering,Maximum Reordering,Median Reordering
1 Jan 2022,3,3,3,3
2 Jan 2022,3,3,3,3
3 Jan 2022,3,3,3,3
4 Jan 2022,3,3,3,3
5 Jan 2022,3,3,3,3
6 Jan 2022,3,3,3,3
7 Jan 2022,3,3,3,3
8 Jan 2022,3,3,3,3
9 Jan 2022,3,3,3,3
10 Jan 2022,3,3,3,3
11 Jan 2022,3,3,3,3
12 Jan 2022,3,3,3,3
13 Jan 2022,3.0435,3.0435,3.0435,3.0435
14 Jan 2022,3,3,3,3
15 Jan 2022,3,3,3,3
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,3,3,3,3
19 Jan 2022,3,3,3,3
20 Jan 2022,3,3,3,3
21 Jan 2022,3,3,3,3
22 Jan 2022,3,3,3,3
23 Jan 2022,3,3,3,3
24 Jan 2022,3,3,3,3
25 Jan 2022,3.0303,3.0303,3.0303,3.0303
26 Jan 2022,3,3,3,3
27 Jan 2022,3,3,3,3
28 Jan 2022,3,3,3,3
29 Jan 2022,3,3,3,3
30 Jan 2022,3,3,3,3
31 Jan 2022,3,3,3,3
