category,Average BytesAcked,Minimum BytesAcked,Maximum BytesAcked,Median BytesAcked
1 Jan 2022,4700409.1429,231525.0952,10993791.8571,4403026.8571
2 Jan 2022,6022084.619,129005,14059978.1429,5820287.4286
3 Jan 2022,8878949.0385,554229.1538,18097898.3846,9446517.6154
4 Jan 2022,9886786.127,757620.1429,19738933.4127,10047989.8254
5 Jan 2022,11050913,1119272.3333,21592540.7857,11475080.4881
6 Jan 2022,9473201.8133,1123077.5867,18592126.68,9785347.36
7 Jan 2022,12282879.1724,1832095.6897,22650130.7241,12597515.2069
8 Jan 2022,7383780.6522,422223.5217,15401081.7826,7363087.6087
9 Jan 2022,3921063.9286,136778.4286,9170241.2143,3775473
10 Jan 2022,4703031.15,167965.85,10692631.95,4535824.95
11 Jan 2022,9960707.1714,447631.4857,20533540.4,10339626.2571
12 Jan 2022,8805905.4074,499912.7778,18748722.284,8900047.8025
13 Jan 2022,5682999.4783,334884.3913,11736958.2174,5650520.2609
14 Jan 2022,4615570.3636,210494.9091,9852817.7273,4859129.1364
15 Jan 2022,3024930.8667,253361,6770541.4,3066108.4
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,8540081.7368,324909.7105,18134957.2895,8628898.8947
19 Jan 2022,6716802.8605,223197.6512,14616363.9767,6715235.3256
20 Jan 2022,7303532,275901.2857,16412449.7857,7165458.1786
21 Jan 2022,5233836,110493,12013288.4444,5181220.2222
22 Jan 2022,8663949.8333,332505.0303,19011143.8182,8606444.3182
23 Jan 2022,6247706.8043,189370.1739,14421486.1739,5837813.9565
24 Jan 2022,6372486.34,289454.08,14198214.72,6084612.54
25 Jan 2022,4555205.8182,170345.3636,10098187.1212,4636810.9394
26 Jan 2022,3130107.7761,158109.5373,7156121.209,3044347.4776
27 Jan 2022,5177520.1739,214385.7391,11353600.9565,5129452.913
28 Jan 2022,9829164.8,849174.7,20677260.2,10050621.75
29 Jan 2022,1612725.1163,90493.7907,3816143.8372,1512246.2558
30 Jan 2022,5198535.2407,270265.7778,11902204.8889,5008705
31 Jan 2022,9524529.8,825491,19126260.6,9854128.4
