category,Average BytesReceived,Minimum BytesReceived,Maximum BytesReceived,Median BytesReceived
1 Jan 2022,1161.381,785,1604.1429,1170.0952
2 Jan 2022,1189.7619,785,1646.6667,1210.381
3 Jan 2022,1064.6538,785,1408.6538,1077.9615
4 Jan 2022,1120.0317,785,1516.8571,1123.4762
5 Jan 2022,1139.4048,785,1556.5833,1151.631
6 Jan 2022,1136.1067,785,1548.9067,1147.3467
7 Jan 2022,1134.3793,785,1545.1034,1140.931
8 Jan 2022,1173.0435,785,1631,1182.5652
9 Jan 2022,1130.5,785,1538.6786,1138.5
10 Jan 2022,1163.625,785,1596.925,1178.175
11 Jan 2022,1241.0286,874.6,1665.5429,1257.4571
12 Jan 2022,1158.4691,785,1585.1605,1179.7037
13 Jan 2022,1031.2174,785,1344.913,1035.5652
14 Jan 2022,1090.9091,804.1818,1436.5455,1114.0909
15 Jan 2022,1132.8667,785,1530.7333,1165.7333
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,1169.1842,819.9474,1569.4737,1175.6842
19 Jan 2022,1171.3023,785,1611.3256,1185.7442
20 Jan 2022,1128.8571,785,1523.5714,1154.3571
21 Jan 2022,1023.5,785,1315.0556,1029.3333
22 Jan 2022,1221.5909,785,1710.0455,1239.803
23 Jan 2022,1172.2391,785,1615.6739,1180.6087
24 Jan 2022,1149.46,785,1569.9,1153.64
25 Jan 2022,1094.2121,785,1461.5152,1106.303
26 Jan 2022,1125.6119,785,1532.791,1134.8657
27 Jan 2022,1115.1522,785,1506.3478,1125.4348
28 Jan 2022,1150.4,785,1572.25,1176.35
29 Jan 2022,1077.9767,785,1433.1628,1080.8372
30 Jan 2022,1170.0185,785,1610.9815,1180.3333
31 Jan 2022,1151.9,785,1579.3,1168.2
