category,Average SegsOut,Minimum SegsOut,Maximum SegsOut,Median SegsOut
1 Jan 2022,434.0476,24.7143,813.0952,443.2381
2 Jan 2022,561.7143,50.2857,996.1429,598.5714
3 Jan 2022,1446.7692,267.8462,2472,1476.3846
4 Jan 2022,1262.75,206.4,2182.2,1299.2333
5 Jan 2022,1426.8571,237.5476,2476.6429,1471.631
6 Jan 2022,1339.8267,198.9067,2389.2933,1364.24
7 Jan 2022,1842.1724,273.3793,3208.3448,1904.4828
8 Jan 2022,870.6522,155.3043,1543.6957,882
9 Jan 2022,333.75,26.2857,581.3929,342.1429
10 Jan 2022,374.125,37.475,676.35,378.875
11 Jan 2022,1097.9714,130.2571,1950.2286,1108.7714
12 Jan 2022,757.5432,103.0617,1375.716,767.5926
13 Jan 2022,768.6957,142.9565,1371.8696,788.4783
14 Jan 2022,987.0455,79.0455,1720.1818,1025.9545
15 Jan 2022,297.8182,41.8636,514.6818,310.5909
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,540.5,66.6053,919.0789,574.1316
19 Jan 2022,285.2093,44.2326,501.2093,289.4651
20 Jan 2022,337.0714,19.5,594.3214,350.5
21 Jan 2022,768,15.0556,1438.2222,808.5556
22 Jan 2022,154.697,20.0152,271.3333,161.197
23 Jan 2022,213.0652,20.3261,378.7609,228.6522
24 Jan 2022,491.26,63.7,904.64,499.28
25 Jan 2022,644.7576,53.7273,1152.5152,656.4848
26 Jan 2022,457.5522,50.3881,810.6418,476.5522
27 Jan 2022,643.1915,57.1489,1168.3191,666.8085
28 Jan 2022,1604.15,243.1,2789.5,1636.65
29 Jan 2022,863.5,57.4524,1529.6429,907.6667
30 Jan 2022,874.2778,59.1852,1630.2593,905.6852
31 Jan 2022,1375.1,98.8,2494.3,1378.8
