category,Average DataSegsOut,Minimum DataSegsOut,Maximum DataSegsOut,Median DataSegsOut
1 Jan 2022,3625.2857,236.1429,8339.4762,3416.2381
2 Jan 2022,4613.2381,144.5714,10646.1905,4465.0476
3 Jan 2022,6898.8462,492.5,14091.0769,7293.1538
4 Jan 2022,7626.1587,644.0159,15223.3016,7748.4603
5 Jan 2022,8488.869,907.9286,16603.4167,8806.25
6 Jan 2022,7292.28,898.8933,14294.4133,7521.4267
7 Jan 2022,9401,1441.5517,17333.2759,9638.7931
8 Jan 2022,5668.6522,386.4348,11754,5659.6087
9 Jan 2022,3024.4643,145.6429,6953.9286,2921.1429
10 Jan 2022,3618.675,183.7,8121.975,3501.85
11 Jan 2022,7684.4,393.9429,15850.8571,7966.6857
12 Jan 2022,6739,434.5926,14302.2222,6796.0864
13 Jan 2022,4288.7826,298.1739,8807,4262.1739
14 Jan 2022,3474.2727,222.0455,7337.4091,3655.4545
15 Jan 2022,2313.4,232.8,5109.3333,2344.4
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,6590.9211,303.3684,13905.0789,6648.1316
19 Jan 2022,5149.4651,221.9767,11081.8372,5152.3023
20 Jan 2022,5741.4286,274.0357,12672.6786,5755.9286
21 Jan 2022,4268.6667,119.3889,9406.2222,4400.6111
22 Jan 2022,6648.9242,334.2121,14446.7424,6606.0303
23 Jan 2022,4820.413,199.6739,10996.8478,4522.7174
24 Jan 2022,4901.32,282.26,10810.7,4695.7
25 Jan 2022,3425.0303,163,7496.3333,3470.1515
26 Jan 2022,2397.9403,156.5821,5420.6418,2333.8806
27 Jan 2022,3883.0652,208.1522,8440.7391,3844.1087
28 Jan 2022,7343,700.9,15375,7471.9
29 Jan 2022,1277.8372,96.5349,2968.814,1203.7442
30 Jan 2022,3969.9259,263.3148,8976.0926,3827.8889
31 Jan 2022,7159.6,675.8,14280.1,7412.4
