category,Average DataSegsOut,Minimum DataSegsOut,Maximum DataSegsOut,Median DataSegsOut
1 Jan 2022,49.7619,5,93.619,51.0476
2 Jan 2022,47.9048,5,90.1905,49.0476
3 Jan 2022,49.1923,5.0769,93.5769,49.8462
4 Jan 2022,49.2,5.0167,93.1833,50.5667
5 Jan 2022,47.7024,5.0119,90.369,49.0119
6 Jan 2022,50.2533,5.0267,94.8533,51.2933
7 Jan 2022,47.7931,5.0345,90.2069,48.8621
8 Jan 2022,46.7826,5,87.9565,47.5652
9 Jan 2022,50.5,5,94.5357,51.75
10 Jan 2022,49.1,5.025,92.375,50.45
11 Jan 2022,48.2857,4.4,91.7714,49.2857
12 Jan 2022,49.1605,5.0247,92.8395,50.1975
13 Jan 2022,48.9565,5.2174,92.3478,49.8261
14 Jan 2022,48.3636,4.9091,90.6818,49
15 Jan 2022,47.0455,4.8636,89.0909,48.2727
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,46.4211,4.8684,87.8947,47.8158
19 Jan 2022,48.7674,5.0233,91.8605,49.5581
20 Jan 2022,47.1786,5.1429,88.9643,48.2143
21 Jan 2022,50.5556,5.0556,95.5,51.2222
22 Jan 2022,50.1667,5.0303,95.1364,51.3182
23 Jan 2022,47.2174,5.0435,88.6304,48.2826
24 Jan 2022,49.8,5.06,93.78,51.12
25 Jan 2022,48.3939,5.0606,91.3333,49.3636
26 Jan 2022,49.2985,5.0299,93.0149,50.3881
27 Jan 2022,48.4681,5,91.8085,49.4468
28 Jan 2022,46.9,5.05,88.5,48.05
29 Jan 2022,49.0952,5,92.3333,50.1905
30 Jan 2022,49.8148,5,93.4444,51.3148
31 Jan 2022,50.3,5,95.5,51
