category,Average BusyTime,Minimum BusyTime,Maximum BusyTime,Median BusyTime
1 Jan 2022,4245425.8095,324761.9048,9742476.1905,4024476.1905
2 Jan 2022,4310144.2857,200571.4286,9770285.7143,4247142.8571
3 Jan 2022,4251532.1154,256923.0769,9444461.5385,4328769.2308
4 Jan 2022,4478901.3492,275428.5714,9745142.8571,4428063.4921
5 Jan 2022,4581874,296904.7619,9810571.4286,4649238.0952
6 Jan 2022,4494496.6133,259306.6667,9739360,4559946.6667
7 Jan 2022,4741157.931,301931.0345,9790206.8966,4767517.2414
8 Jan 2022,4293463.1739,221565.2174,9713217.3913,4196434.7826
9 Jan 2022,4338773.2143,250714.2857,9842000,4285642.8571
10 Jan 2022,4215351.175,250900,9659400,4045150
11 Jan 2022,4291052.0857,182285.7143,9579428.5714,4325142.8571
12 Jan 2022,4473529.7901,315654.321,9787358.0247,4458074.0741
13 Jan 2022,4442118.2609,278434.7826,9590086.9565,4496782.6087
14 Jan 2022,4456393.5909,281272.7273,9563272.7273,4635545.4545
15 Jan 2022,4302676.4667,401066.6667,9634133.3333,4484666.6667
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,4446582.8158,264105.2632,9761578.9474,4293526.3158
19 Jan 2022,4437490.3488,240186.0465,9805302.3256,4393209.3023
20 Jan 2022,4283570.7857,333428.5714,9740714.2857,4240642.8571
21 Jan 2022,4143081.2222,323555.5556,9514000,4075333.3333
22 Jan 2022,4497250.7727,320242.4242,9806787.8788,4434818.1818
23 Jan 2022,4184415.8478,270173.913,9629826.087,3857956.5217
24 Jan 2022,4350860.8,316800,9737280,4141040
25 Jan 2022,4422708.6667,337090.9091,9687757.5758,4473272.7273
26 Jan 2022,4297990.8806,335164.1791,9685731.3433,4193641.791
27 Jan 2022,4455867.5217,318260.8696,9667043.4783,4439304.3478
28 Jan 2022,4667577.65,294600,9933200,4775400
29 Jan 2022,4274005.4419,381209.3023,9517953.4884,4177860.4651
30 Jan 2022,4253354.7222,308074.0741,9756074.0741,4105703.7037
31 Jan 2022,4719333.4,331200,9793200,4860800
