category,Average BusyTime,Minimum BusyTime,Maximum BusyTime,Median BusyTime
1 Jan 2022,1512200,76571.4286,3017142.8571,1514952.381
2 Jan 2022,1216013.9048,76190.4762,2376571.4286,1267333.3333
3 Jan 2022,294018.0385,22615.3846,571692.3077,306923.0769
4 Jan 2022,656527.55,36933.3333,1300333.3333,667733.3333
5 Jan 2022,569090.7381,32809.5238,1142904.7619,573761.9048
6 Jan 2022,709941.24,36213.3333,1386400,743626.6667
7 Jan 2022,304290.5517,23172.4138,608689.6552,298896.5517
8 Jan 2022,970981.087,57913.0435,1857913.0435,1000608.6957
9 Jan 2022,1835519.4286,87571.4286,3553571.4286,1885857.1429
10 Jan 2022,1405881.45,83800,2665600,1483650
11 Jan 2022,761806.7143,54857.1429,1479542.8571,781428.5714
12 Jan 2022,935007.0864,54765.4321,1832839.5062,972913.5802
13 Jan 2022,1075190.2609,83478.2609,2086782.6087,1083478.2609
14 Jan 2022,1312379.6818,80000,2473272.7273,1353636.3636
15 Jan 2022,1484838.8182,119272.7273,2929454.5455,1485636.3636
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,1002798.6316,78000,2004736.8421,1014684.2105
19 Jan 2022,1163945.8837,71162.7907,2316279.0698,1182325.5814
20 Jan 2022,1909233.3214,174714.2857,3560000,1966428.5714
21 Jan 2022,2915977.6111,213333.3333,5483555.5556,3007666.6667
22 Jan 2022,1288881.3485,77575.7576,2606787.8788,1275090.9091
23 Jan 2022,1367967.5217,90173.913,2681652.1739,1400217.3913
24 Jan 2022,1802315.18,84240,3761440,1813640
25 Jan 2022,1415729.9091,86181.8182,2839393.9394,1425272.7273
26 Jan 2022,1466402.7463,80716.4179,3094089.5522,1426089.5522
27 Jan 2022,1148710.6809,65617.0213,2244340.4255,1168255.3191
28 Jan 2022,534081.1,79400,1045800,513400
29 Jan 2022,1892759.2381,121428.5714,3864666.6667,1855809.5238
30 Jan 2022,1719031.4815,72444.4444,3686666.6667,1680592.5926
31 Jan 2022,492405,28400,934800,501600
