category,Average RWndLimited,Minimum RWndLimited,Maximum RWndLimited,Median RWndLimited
1 Jan 2022,952.381,952.381,952.381,952.381
2 Jan 2022,0,0,0,0
3 Jan 2022,1076.9231,1076.9231,1076.9231,1076.9231
4 Jan 2022,1281.0476,698.4127,1460.3175,1460.3175
5 Jan 2022,47.619,47.619,47.619,47.619
6 Jan 2022,106.6667,106.6667,106.6667,106.6667
7 Jan 2022,827.5862,827.5862,827.5862,827.5862
8 Jan 2022,173.913,173.913,173.913,173.913
9 Jan 2022,0,0,0,0
10 Jan 2022,282.975,0,600,200
11 Jan 2022,528.6286,228.5714,571.4286,571.4286
12 Jan 2022,0,0,0,0
13 Jan 2022,0,0,0,0
14 Jan 2022,0,0,0,0
15 Jan 2022,0,0,0,0
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,1487.7105,0,3684.2105,421.0526
19 Jan 2022,744.186,744.186,744.186,744.186
20 Jan 2022,21230.3214,0,43714.2857,39500
21 Jan 2022,80849.1667,0,133555.5556,133555.5556
22 Jan 2022,0,0,0,0
23 Jan 2022,0,0,0,0
24 Jan 2022,2000,0,4000,2000
25 Jan 2022,1751.5152,0,2060.6061,2060.6061
26 Jan 2022,0,0,0,0
27 Jan 2022,10956.5217,0,14608.6957,14608.6957
28 Jan 2022,400,400,400,400
29 Jan 2022,26080.6279,0,103720.9302,3023.2558
30 Jan 2022,370.3704,370.3704,370.3704,370.3704
31 Jan 2022,0,0,0,0
