category,Average BytesSent,Minimum BytesSent,Maximum BytesSent,Median BytesSent
1 Jan 2022,4847609.3333,312856.4286,11155116.4286,4567760.1429
2 Jan 2022,6169388.1905,190397.5714,14241500.1429,5971067.2857
3 Jan 2022,9654243.6538,685312.5,19723158.6538,10206093.2692
4 Jan 2022,10572447.5873,890422.0794,21083675,10752086.6825
5 Jan 2022,11798302.8929,1262212.2024,23060678.3452,12244566.2738
6 Jan 2022,10148633.4667,1251175.52,19880930.0533,10472302.5333
7 Jan 2022,13161753.4138,2014302.5862,24272226.7241,13494088.2414
8 Jan 2022,7787370.6087,530458.2174,16117671.7826,7781588.7391
9 Jan 2022,4043617.1429,191831.1429,9301221.8571,3905354.5714
10 Jan 2022,4838707.075,242731.625,10864110.125,4682315.975
11 Jan 2022,10584626.8857,542802.0571,21807362.7429,10983955.8571
12 Jan 2022,9224994.8889,594420.8272,19558953.5185,9310876.2346
13 Jan 2022,6001658.5217,413482.3043,12331263.6087,5967542.5652
14 Jan 2022,4749081.2273,301964.2727,10029416,4995494
15 Jan 2022,3092270.5333,308447.4,6833070.6,3133634.4
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,8977842.0263,412486.2105,18931752.0526,9057581.1316
19 Jan 2022,6936456.1163,294524.2558,14937102.6744,6941727.5349
20 Jan 2022,7745799.3571,364076.4286,17126709.7857,7769885.1429
21 Jan 2022,5842874.1111,157955.5556,12909381.3333,6026838.7222
22 Jan 2022,8892568.4242,444139.197,19325541.4697,8835171.697
23 Jan 2022,6456906.1304,264639.7174,14738612.6739,6056652.7174
24 Jan 2022,6615423.78,378668.68,14589190.28,6339462.74
25 Jan 2022,4708317.8485,218896.2727,10302887.7273,4773929.7576
26 Jan 2022,3244093.7313,208428.9403,7335968.5821,3157266.1194
27 Jan 2022,5337682.7609,282175.087,11603228.8261,5283794.087
28 Jan 2022,10238505.1,976338.05,21422468.35,10425096.75
29 Jan 2022,1716687.4884,126277.3721,3999186.4884,1614540.1628
30 Jan 2022,5308743.9074,349268.6667,12006891,5118557.2778
31 Jan 2022,9944061.9,937176.2,19819019.2,10305114.2
