category,Average BytesRetrans,Minimum BytesRetrans,Maximum BytesRetrans,Median BytesRetrans
1 Jan 2022,125.619,0,193.2857,123.1429
2 Jan 2022,64.1905,0,104.8571,43
3 Jan 2022,168.8846,21.3462,313.6538,200.7692
4 Jan 2022,180.6,5.8833,349.7667,175.2167
5 Jan 2022,69.2976,16.6667,138.3095,66.25
6 Jan 2022,243.4267,9.4133,362.24,293.5467
7 Jan 2022,71.7931,12.1724,147.8276,47.0345
8 Jan 2022,28.4783,0,37.3913,31.7826
9 Jan 2022,186.5357,0,240.9643,197.6786
10 Jan 2022,163.775,13.475,205.075,199.7
11 Jan 2022,87.6571,0,181.6571,90.3714
12 Jan 2022,195.4815,13.3086,313.9259,245.7778
13 Jan 2022,260.1739,171,375.2609,248.9565
14 Jan 2022,185.3182,24.5,221.7273,206.0909
15 Jan 2022,60.9091,0,75.9091,68.0909
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,235.0263,98,370.9737,241.2368
19 Jan 2022,104.2558,12.5814,161.8837,124.4186
20 Jan 2022,206.6786,162.6786,241,208.75
21 Jan 2022,178.3333,30.0556,291.4444,204.8333
22 Jan 2022,85.2273,16.3939,135.7273,80.2879
23 Jan 2022,180.6957,19.4783,267.2609,197.0652
24 Jan 2022,569.52,45.92,993.94,599.38
25 Jan 2022,237.8485,27.1515,407.1212,235.1515
26 Jan 2022,198.6716,25.2687,365.194,216.0149
27 Jan 2022,105.5745,0,200.9362,116.4043
28 Jan 2022,99.35,66.9,129.25,100.25
29 Jan 2022,104.6667,0,170.7381,90.2619
30 Jan 2022,174.1852,0,340.3704,170.6481
31 Jan 2022,46.8,0,81.7,47.3
