category,Average DsackDups,Minimum DsackDups,Maximum DsackDups,Median DsackDups
1 Jan 2022,1.5714,0,2.0476,1.7143
2 Jan 2022,0.9048,0,1.2381,1.0476
3 Jan 2022,1.0769,0.0385,2.5,1
4 Jan 2022,1.0667,0.0167,1.9833,1.1333
5 Jan 2022,0.7738,0,1.5119,0.8214
6 Jan 2022,1.5467,0.0267,2.4667,1.6
7 Jan 2022,0.931,0.0345,1.3793,0.8966
8 Jan 2022,0.7391,0,0.913,0.7826
9 Jan 2022,1.7857,0,1.9643,1.9286
10 Jan 2022,0.975,0.025,1.15,1.025
11 Jan 2022,1,0,1.6,1.0857
12 Jan 2022,1.6914,0.0247,2.7778,1.8395
13 Jan 2022,0.8696,0.1739,1.3913,0.913
14 Jan 2022,2,0.0455,2.5,2.1364
15 Jan 2022,0.3182,0,0.5,0.3182
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,1.1842,0.0526,2.1316,1.3158
19 Jan 2022,1.2558,0.0233,2.093,1.2558
20 Jan 2022,1.0357,0,1.7857,1.0714
21 Jan 2022,1,0.0556,1.4444,1.0556
22 Jan 2022,1.1212,0.0303,2,1.1212
23 Jan 2022,1.0652,0.0217,1.5435,1.1304
24 Jan 2022,3.98,0.04,7.36,4.26
25 Jan 2022,1.2727,0.0606,2.1818,1.4545
26 Jan 2022,1.8358,0.0149,2.9851,2.0746
27 Jan 2022,0.9362,0,1.7234,0.9149
28 Jan 2022,0.8,0,1.45,0.75
29 Jan 2022,1.5952,0,2.3095,1.6905
30 Jan 2022,3.0185,0,4.7222,3.5
31 Jan 2022,1,0,1.7,1.1
