category,Average ReordSeen,Minimum ReordSeen,Maximum ReordSeen,Median ReordSeen
1 Jan 2022,0,0,0,0
2 Jan 2022,0,0,0,0
3 Jan 2022,0,0,0,0
4 Jan 2022,0,0,0,0
5 Jan 2022,0,0,0,0
6 Jan 2022,0.0133,0,0.0267,0.0267
7 Jan 2022,0.069,0.069,0.1034,0.069
8 Jan 2022,0,0,0,0
9 Jan 2022,0,0,0,0
10 Jan 2022,0.025,0,0.025,0.025
11 Jan 2022,0.0286,0.0286,0.0286,0.0286
12 Jan 2022,0,0,0,0
13 Jan 2022,0.5652,0.5652,0.5652,0.5652
14 Jan 2022,0.5,0.5,0.5,0.5
15 Jan 2022,0,0,0,0
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,0.2368,0.2368,0.2368,0.2368
19 Jan 2022,0.0233,0.0233,0.0233,0.0233
20 Jan 2022,0.1786,0.1786,0.1786,0.1786
21 Jan 2022,0.4444,0.4444,0.4444,0.4444
22 Jan 2022,0,0,0,0
23 Jan 2022,0.087,0.087,0.087,0.087
24 Jan 2022,0.02,0.02,0.02,0.02
25 Jan 2022,0.2727,0.2424,0.2727,0.2727
26 Jan 2022,0,0,0,0
27 Jan 2022,0.0851,0.0851,0.0851,0.0851
28 Jan 2022,0,0,0,0
29 Jan 2022,0.1667,0.1429,0.1667,0.1667
30 Jan 2022,0,0,0,0
31 Jan 2022,0,0,0,0
