category,Average Retransmits,Minimum Retransmits,Maximum Retransmits,Median Retransmits
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,0,0,0.037,0.037
5 Jul 2022,0.027,0,0.1351,0.027
6 Jul 2022,0,0,0.0833,0
7 Jul 2022,0,0,0.0704,0
8 Jul 2022,0.0154,0,0.1231,0.0615
9 Jul 2022,0,0,0.0385,0
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,0,0,0,0
14 Jul 2022,0,0,0.0104,0
15 Jul 2022,0,0,0.0741,0.037
16 Jul 2022,0,0,0,0
17 Jul 2022,0,0,0,0
18 Jul 2022,0,0,0.026,0
19 Jul 2022,0.0128,0,0.0641,0
20 Jul 2022,0,0,0.0313,0.0156
21 Jul 2022,0.0172,0,0.2586,0.069
22 Jul 2022,0,0,0.0857,0.0286
23 Jul 2022,0,0,0,0
24 Jul 2022,0.0455,0,0.4091,0.0909
25 Jul 2022,0.0233,0,0.093,0.0349
26 Jul 2022,0.1111,0,0.5778,0.1222
27 Jul 2022,0.0125,0,0.2375,0.0125
28 Jul 2022,0.0526,0,0.25,0.0789
29 Jul 2022,0.1364,0,0.4091,0.0909
30 Jul 2022,0.1765,0,0.7647,0.1176
31 Jul 2022,0.1053,0,0.6842,0.0526
