category,Average ATO,Minimum ATO,Maximum ATO,Median ATO
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,43048.037,40000,76592.5926,44814.8148
5 Jul 2022,42978.1081,40000,73297.2973,45135.1351
6 Jul 2022,44518.45,40000,75733.3333,45066.6667
7 Jul 2022,44537.4507,40000,79098.5915,44535.2113
8 Jul 2022,45258.3538,40000,88615.3846,46153.8462
9 Jul 2022,41420.0769,40000,58000,40461.5385
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,43995.3864,40000,74363.6364,44681.8182
14 Jul 2022,41161.7708,40000,58625,41000
15 Jul 2022,45123.1481,40000,76444.4444,46592.5926
16 Jul 2022,40323.4706,40000,49254.902,40156.8627
17 Jul 2022,40520.5455,40000,51636.3636,40000
18 Jul 2022,46393.6104,40000,93038.961,46389.6104
19 Jul 2022,46724.1923,40000,92769.2308,50307.6923
20 Jul 2022,47198.9688,40000,88500,47812.5
21 Jul 2022,47547.7759,40000,97517.2414,49379.3103
22 Jul 2022,43602.9143,40000,76342.8571,49485.7143
23 Jul 2022,42419,40000,56000,40000
24 Jul 2022,43095.4545,40000,74363.6364,43363.6364
25 Jul 2022,45784.6395,40000,85534.8837,45720.9302
26 Jul 2022,46039.3889,40000,90488.8889,46911.1111
27 Jul 2022,42953.1625,40000,70600,45375
28 Jul 2022,44050.6711,40000,77000,46105.2632
29 Jul 2022,49120.7727,40000,96181.8182,48090.9091
30 Jul 2022,43231.1176,40000,69411.7647,44470.5882
31 Jul 2022,41956.5789,40000,60210.5263,42315.7895
