category,Average RcvMSS,Minimum RcvMSS,Maximum RcvMSS,Median RcvMSS
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,536,536,536,536
5 Jul 2022,536,536,536,536
6 Jul 2022,536,536,536,536
7 Jul 2022,536,536,536,536
8 Jul 2022,536,536,536,536
9 Jul 2022,536,536,536,536
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,538.4419,538.4419,538.4419,538.4419
14 Jul 2022,537,537,537,537
15 Jul 2022,536,536,536,536
16 Jul 2022,536,536,536,536
17 Jul 2022,536,536,536,536
18 Jul 2022,536,536,536,536
19 Jul 2022,536,536,536,536
20 Jul 2022,536,536,536,536
21 Jul 2022,536,536,536,536
22 Jul 2022,536,536,536,536
23 Jul 2022,536,536,536,536
24 Jul 2022,536,536,536,536
25 Jul 2022,536,536,536,536
26 Jul 2022,536,536,536,536
27 Jul 2022,536,536,536,536
28 Jul 2022,536,536,536,536
29 Jul 2022,536,536,536,536
30 Jul 2022,536,536,536,536
31 Jul 2022,536,536,536,536
