category,Average RcvMSS,Minimum RcvMSS,Maximum RcvMSS,Median RcvMSS
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,1348.3704,1064.2963,1354.963,1354.963
5 Jul 2022,1375.3514,1148,1381.7838,1381.7838
6 Jul 2022,1397.3833,1084.4333,1407,1407
7 Jul 2022,1374.7042,1095.8873,1383.7465,1383.7465
8 Jul 2022,1376.6,1043.5077,1386.4615,1386.4615
9 Jul 2022,1390.6923,1125.8462,1396.8462,1396.8462
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,1389.5455,1126.0682,1397.3182,1397.3182
14 Jul 2022,1378.5521,1181.9583,1383.9375,1383.9375
15 Jul 2022,1401.9259,1018.2222,1411.3333,1411.3333
16 Jul 2022,1389.4902,1168.8627,1396.2353,1396.2353
17 Jul 2022,1334.2727,1192.1818,1338,1338
18 Jul 2022,1372.9221,1089.4026,1382.4156,1382.4156
19 Jul 2022,1381.5769,1132.6667,1389.9231,1389.9231
20 Jul 2022,1400,1039.0313,1415.3438,1415.3438
21 Jul 2022,1395.4138,1163.3103,1403.1724,1403.1724
22 Jul 2022,1398.6,1254.5143,1402.2857,1402.2857
23 Jul 2022,1338,1338,1338,1338
24 Jul 2022,1352.6364,1091,1362.5455,1362.5455
25 Jul 2022,1365.1047,1220.093,1369.3953,1369.3953
26 Jul 2022,1361.9444,1177.2444,1367,1367
27 Jul 2022,1369.5125,1067.525,1378.5,1378.5
28 Jul 2022,1359.2368,1194.9474,1364.0526,1364.0526
29 Jul 2022,1359.6818,1246.5,1362.5455,1362.2727
30 Jul 2022,1334.8235,1196.4706,1338,1338
31 Jul 2022,1335.7895,1253.5789,1338,1338
