category,Average Unacked,Minimum Unacked,Maximum Unacked,Median Unacked
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,220.1852,33.6296,555.7778,191
5 Jul 2022,202.2432,21.973,592.1081,171.3514
6 Jul 2022,313.2034,40.4237,931.322,264.3051
7 Jul 2022,242.6479,39.9155,679.662,209.3099
8 Jul 2022,216.9841,18.1429,536.4127,204.5714
9 Jul 2022,203.1481,23.2963,761.4815,133.1111
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,314.6977,46.4884,848.186,252.2093
14 Jul 2022,228.8958,39.7188,644.5104,200.1042
15 Jul 2022,308.8519,37.5556,960.0741,250.963
16 Jul 2022,282.0392,44.3725,876.5098,211.3529
17 Jul 2022,102.5455,41.0909,184.3636,118.5455
18 Jul 2022,253.4545,37.6104,704.5974,205.9221
19 Jul 2022,246.974,34.2727,743.6104,213.8182
20 Jul 2022,309.7031,36.5156,896.75,264
21 Jul 2022,296.1667,31.3889,871.2037,238.5185
22 Jul 2022,239,36.0286,681.3429,225.8
23 Jul 2022,39,5,113,6
24 Jul 2022,87.5714,7.8095,204.0952,89.2857
25 Jul 2022,164.5309,14.9259,451.5679,156.6914
26 Jul 2022,138.5844,20.2857,356.7792,142.1688
27 Jul 2022,186.039,27.013,561.1039,163.0519
28 Jul 2022,144.7867,21.2533,423.8267,99.0933
29 Jul 2022,113.05,13.225,288,85.2
30 Jul 2022,15.9167,3.75,58.8333,7.25
31 Jul 2022,25.5625,5.4375,67.4375,16.375
