category,Average Sacked,Minimum Sacked,Maximum Sacked,Median Sacked
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,0,0,0.1852,0.037
5 Jul 2022,0.027,0,0.1622,0.027
6 Jul 2022,0.0167,0,0.15,0.0167
7 Jul 2022,0,0,0.1831,0
8 Jul 2022,0.0154,0,0.3846,0.0308
9 Jul 2022,0,0,0.1538,0
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,0,0,0,0
14 Jul 2022,0,0,0.0208,0
15 Jul 2022,0,0,0.1852,0
16 Jul 2022,0,0,0.0588,0.0196
17 Jul 2022,0,0,0,0
18 Jul 2022,0,0,0.026,0
19 Jul 2022,0,0,0.1026,0.0128
20 Jul 2022,0,0,0.1406,0.0156
21 Jul 2022,0.0345,0,0.5517,0.0862
22 Jul 2022,0,0,0.1429,0
23 Jul 2022,0,0,0,0
24 Jul 2022,0.0909,0,0.7273,0.3636
25 Jul 2022,0.0814,0,0.3837,0.1512
26 Jul 2022,0.1778,0,1.2111,0.2667
27 Jul 2022,0.0125,0,0.6375,0.05
28 Jul 2022,0.0921,0,0.6184,0.0526
29 Jul 2022,0.1136,0,0.6818,0.1591
30 Jul 2022,0.3529,0,1.1765,0.4118
31 Jul 2022,0.2105,0,1.2632,0.4211
