category,Average Lost,Minimum Lost,Maximum Lost,Median Lost
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,24.4074,0,211.0741,9.2222
5 Jul 2022,24.8108,0,250.027,6.7838
6 Jul 2022,30.9661,0,315.7627,12.4915
7 Jul 2022,26.4085,0.0141,247.8451,10.5915
8 Jul 2022,19.1111,0.0159,153.6032,8.8889
9 Jul 2022,24.3333,0,310.1852,0.6667
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,16.0465,0,186.7209,9.3953
14 Jul 2022,13.8958,0,179.0625,2.5625
15 Jul 2022,23.3704,0,290.0741,1.6296
16 Jul 2022,23.0588,0,308.0588,0.4706
17 Jul 2022,0,0,1.4545,0.4545
18 Jul 2022,15.6753,0,183.5714,3.0519
19 Jul 2022,21.2338,0,247.6234,4.1429
20 Jul 2022,28.1719,0,329.9375,6.1094
21 Jul 2022,26.7593,0,304.7963,16.1296
22 Jul 2022,18.7143,0,152.4,5.4286
23 Jul 2022,16,0,96,0
24 Jul 2022,13.3333,0.0952,51.8095,6.1905
25 Jul 2022,22.963,0.0617,160.1852,10.6667
26 Jul 2022,15.7922,0.013,108.1429,8.9091
27 Jul 2022,21.6753,0.026,200.3377,7.4286
28 Jul 2022,25.6933,0.1067,168.8533,8.4533
29 Jul 2022,20.525,0,114.1,6.8
30 Jul 2022,6.25,0,36.75,0.9167
31 Jul 2022,11.6875,0,55.6875,9
