category,Average Retrans,Minimum Retrans,Maximum Retrans,Median Retrans
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,10.8148,0,92.4815,4.7037
5 Jul 2022,12.8378,0,134.3514,4.7568
6 Jul 2022,18.1695,0,179.0339,5.4237
7 Jul 2022,13.4085,0.0141,119.493,6.2958
8 Jul 2022,8.2381,0.0159,65.6349,6.0794
9 Jul 2022,16.4815,0,179.5926,0.6667
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,12.6047,0,130.5349,9.3953
14 Jul 2022,9,0,92.3229,1.8542
15 Jul 2022,17.1111,0,186.6296,1.6296
16 Jul 2022,14.8824,0,173.7843,0.4706
17 Jul 2022,0,0,1.4545,0.4545
18 Jul 2022,11.0649,0,111.4545,3.0519
19 Jul 2022,13.0779,0,135.9351,3.9481
20 Jul 2022,17.9688,0,179.8281,5.1563
21 Jul 2022,18,0,182.7037,11.3889
22 Jul 2022,10.9714,0,74.3714,5.0286
23 Jul 2022,1,0,5,0
24 Jul 2022,2.9048,0.0952,18.6667,5.381
25 Jul 2022,6.9753,0.0494,61.5432,2.0617
26 Jul 2022,7.3636,0.013,54.1169,6.3117
27 Jul 2022,11.3636,0.013,103.7922,3.5325
28 Jul 2022,10.4267,0.0533,82.4933,2.5067
29 Jul 2022,5.725,0,43.65,2.725
30 Jul 2022,1.0833,0,4.5,0.9167
31 Jul 2022,1.625,0,6.0625,1.4375
