category,Average PMTU,Minimum PMTU,Maximum PMTU,Median PMTU
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,1500,1500,1500,1500
5 Jul 2022,1500,1500,1500,1500
6 Jul 2022,1500,1500,1500,1500
7 Jul 2022,1500,1500,1500,1500
8 Jul 2022,1500,1500,1500,1500
9 Jul 2022,1500,1500,1500,1500
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,1500,1500,1500,1500
14 Jul 2022,1500,1500,1500,1500
15 Jul 2022,1500,1500,1500,1500
16 Jul 2022,1500,1500,1500,1500
17 Jul 2022,1500,1500,1500,1500
18 Jul 2022,1500,1500,1500,1500
19 Jul 2022,1500,1500,1500,1500
20 Jul 2022,1500,1500,1500,1500
21 Jul 2022,1500,1500,1500,1500
22 Jul 2022,1500,1500,1500,1500
23 Jul 2022,1500,1500,1500,1500
24 Jul 2022,1500,1500,1500,1500
25 Jul 2022,1500,1500,1500,1500
26 Jul 2022,1500,1500,1500,1500
27 Jul 2022,1500,1500,1500,1500
28 Jul 2022,1500,1500,1500,1500
29 Jul 2022,1500,1500,1500,1500
30 Jul 2022,1500,1500,1500,1500
31 Jul 2022,1500,1500,1500,1500
