category,Average RTT,Minimum RTT,Maximum RTT,Median RTT
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,121353.8148,71578.6296,225550.5926,142180.1111
5 Jul 2022,84186.5405,63445.6486,167617.1622,88489.4054
6 Jul 2022,122603.6441,85569.6271,207696.6949,127412
7 Jul 2022,107405.8732,74284.3944,205539.1831,107553.662
8 Jul 2022,129321.127,72546.9683,296629.746,167442.0476
9 Jul 2022,115866.6667,76001.5185,188627.5185,109112.0741
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,123870.6512,77552.7674,284272.7907,122195.2326
14 Jul 2022,96637.8646,64765.2604,158603.8021,98059.9167
15 Jul 2022,102931.8889,89116.3333,140746.1852,98708.4815
16 Jul 2022,94308.2549,77160.6471,138794.098,93556.8627
17 Jul 2022,74541.3636,33080.0909,166954.6364,79158.6364
18 Jul 2022,101251.6883,68446.9481,182125.2987,95242.6494
19 Jul 2022,95870.2078,72738.2338,161903.2987,91322.8312
20 Jul 2022,118930.375,94740.9844,209962.8125,121817.8438
21 Jul 2022,103520.5556,83876.0185,167900.4259,103060.1667
22 Jul 2022,91966.9429,69993.9714,136441.0571,90422.8571
23 Jul 2022,49837,35325,74937,43036
24 Jul 2022,112077.1429,47531.7619,331592.0476,90612.6667
25 Jul 2022,81589.0988,53529.8025,158832.9012,80344.4691
26 Jul 2022,70932.8571,51057.2468,129103.6234,65049.039
27 Jul 2022,64022.3636,57800.6494,85770.1818,65227.4416
28 Jul 2022,52044.1467,45586.2533,64525.2,51144.3467
29 Jul 2022,75259.225,47680.175,138813.225,57511.3
30 Jul 2022,37218.0833,28312.0833,53047.5833,38320.9167
31 Jul 2022,29202.5625,21324.625,38854.625,29580.9375
