category,Average RTT,Minimum RTT,Maximum RTT,Median RTT
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,116434.8148,102247.8148,138496.7407,115472.1111
5 Jul 2022,77430.5676,63327.8919,95622.7297,80657.5676
6 Jul 2022,106284.1833,88789.4333,147249.55,100627.05
7 Jul 2022,154096.8169,130619.4507,194005.2113,156618.6056
8 Jul 2022,99186.8615,71892.9231,160836.1385,96801.6154
9 Jul 2022,85759.7692,69603.4615,105489.1923,85170.0385
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,103021.3182,81324.9318,147180.7727,101706.6591
14 Jul 2022,73023.9792,60766.2813,91409.6458,73860.3438
15 Jul 2022,115695.8148,92689.1481,162442.4074,108384
16 Jul 2022,99651.8039,76912.6078,138434.1961,101609.0588
17 Jul 2022,88101.6364,27042.2727,209328.6364,78142.5455
18 Jul 2022,112804.4286,72215.0649,173770.013,114702.4026
19 Jul 2022,103406.4231,77226.3718,158412.0128,99749.6538
20 Jul 2022,144223.5938,105168.1875,220992.9844,147048.8906
21 Jul 2022,101973.4828,85753.7586,144173.8793,98998.7586
22 Jul 2022,86251.5714,70104.3714,103157.6,84493.7429
23 Jul 2022,41710,20916,54040,44545
24 Jul 2022,107331.9545,62911.5,173892.9545,142681.8636
25 Jul 2022,75275.4651,53974.0233,97947.4884,79294.1047
26 Jul 2022,69231.0778,50331.0333,99793.4667,69461.1667
27 Jul 2022,72406.0875,59628.925,94498.7,71054.0125
28 Jul 2022,60346.8684,48160.8553,75362.1447,60814.5263
29 Jul 2022,60262.0682,45352.1591,79055.6364,64008.3182
30 Jul 2022,47185.5294,26949.8235,63665.5882,48348.5882
31 Jul 2022,34368.4211,20728,45122.5263,35778.2632
