category,Average RTTVar,Minimum RTTVar,Maximum RTTVar,Median RTTVar
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,32862.4815,22805.1111,54815.8148,30804
5 Jul 2022,13557.5135,5359.4054,30537.0541,14079.7838
6 Jul 2022,20632.0833,6151.1333,53683.15,13362.1333
7 Jul 2022,58162.507,42139.4085,87671.5915,58383.662
8 Jul 2022,27485.5077,7783.0154,82346.6923,22674.8
9 Jul 2022,13965.5,4544.6154,37883.0385,13429.8846
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,23037.0455,6866.75,58387.4773,19967.2273
14 Jul 2022,11661.6458,3951.2917,30541.8854,9750.5104
15 Jul 2022,23267.5926,5897.4074,57734.1481,22126.5185
16 Jul 2022,16782.2549,3548.451,47088.6078,17228.3333
17 Jul 2022,37158.9091,5019.8182,94758.1818,30771.6364
18 Jul 2022,35125.026,9449.4416,76487.1948,35404.6104
19 Jul 2022,28605.141,8336.7949,72630.5256,24537.5769
20 Jul 2022,37773.9375,10524.4375,101387.9063,42635.1094
21 Jul 2022,21905.9828,7563.8276,67036.1552,17686.2931
22 Jul 2022,20703.2286,5526.2857,45975.3429,13292.1429
23 Jul 2022,11323,4875,19098,7228
24 Jul 2022,35953.2727,15541.0909,68296.5909,46432.8182
25 Jul 2022,18467.2442,6523.3721,39358.5581,20743.3605
26 Jul 2022,18176.7333,6483.3222,46618.6778,17228.2444
27 Jul 2022,13657.2125,5256.7125,32443.25,11163.55
28 Jul 2022,13027.1974,5440.8684,29737.1053,12246.9342
29 Jul 2022,16473.7955,6061.9091,37286.0227,17800.8409
30 Jul 2022,15317.5294,5388.7059,30589.2941,13945.3529
31 Jul 2022,10366.8947,4209.7895,22486.5263,8368.7895
