category,Average AdvMSS,Minimum AdvMSS,Maximum AdvMSS,Median AdvMSS
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,1448,1448,1448,1448
5 Jul 2022,1448,1448,1448,1448
6 Jul 2022,1448,1448,1448,1448
7 Jul 2022,1448,1448,1448,1448
8 Jul 2022,1448,1448,1448,1448
9 Jul 2022,1448,1448,1448,1448
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,1448,1448,1448,1448
14 Jul 2022,1448,1448,1448,1448
15 Jul 2022,1448,1448,1448,1448
16 Jul 2022,1448,1448,1448,1448
17 Jul 2022,1448,1448,1448,1448
18 Jul 2022,1448,1448,1448,1448
19 Jul 2022,1448,1448,1448,1448
20 Jul 2022,1448,1448,1448,1448
21 Jul 2022,1448,1448,1448,1448
22 Jul 2022,1448,1448,1448,1448
23 Jul 2022,1448,1448,1448,1448
24 Jul 2022,1448,1448,1448,1448
25 Jul 2022,1448,1448,1448,1448
26 Jul 2022,1448,1448,1448,1448
27 Jul 2022,1448,1448,1448,1448
28 Jul 2022,1448,1448,1448,1448
29 Jul 2022,1448,1448,1448,1448
30 Jul 2022,1448,1448,1448,1448
31 Jul 2022,1448,1448,1448,1448
