category,Average Reordering,Minimum Reordering,Maximum Reordering,Median Reordering
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,3,3,3,3
5 Jul 2022,3,3,3,3
6 Jul 2022,3,3,3,3
7 Jul 2022,3,3,3,3
8 Jul 2022,3,3,3,3
9 Jul 2022,3,3,3,3
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,3,3,3,3
14 Jul 2022,3,3,3,3
15 Jul 2022,3,3,3,3
16 Jul 2022,3,3,3,3
17 Jul 2022,3,3,3,3
18 Jul 2022,3,3,3,3
19 Jul 2022,3,3,3,3
20 Jul 2022,3,3,3,3
21 Jul 2022,3,3,3,3
22 Jul 2022,3,3,3,3
23 Jul 2022,3,3,3,3
24 Jul 2022,3,3,3,3
25 Jul 2022,3,3,3,3
26 Jul 2022,3,3,3,3
27 Jul 2022,3,3,3,3
28 Jul 2022,3,3,3,3
29 Jul 2022,3,3,3,3
30 Jul 2022,3,3,3,3
31 Jul 2022,3,3,3,3
