category,Average TotalRetrans,Minimum TotalRetrans,Maximum TotalRetrans,Median TotalRetrans
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,851,6.7037,1273.3704,984.963
5 Jul 2022,951.8649,6.027,1432.4324,1066.3784
6 Jul 2022,1429.2034,1.9322,2177.3729,1675.8644
7 Jul 2022,1092.6479,5.9296,1656.4648,1241.2535
8 Jul 2022,680.0635,4.8571,1081.5873,808.0159
9 Jul 2022,1396.5185,0.2593,2011.4074,1562.3704
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,1268.7674,0.0465,1930.4651,1486.7442
14 Jul 2022,894.1563,0.0521,1343.3021,1032.2292
15 Jul 2022,1498.037,0.5926,2376.7778,1706.037
16 Jul 2022,1403.1176,0.0392,2098.4706,1595
17 Jul 2022,12.6364,0,26.8182,10.6364
18 Jul 2022,1033.5325,0.1299,1588.013,1223.6364
19 Jul 2022,1128.2468,2.039,1803.6883,1343.9481
20 Jul 2022,1467.0938,2.0469,2361.2813,1726.4063
21 Jul 2022,1413.6481,0.9259,2274.8889,1635.1852
22 Jul 2022,1099.8286,3.7714,1798,1260.9714
23 Jul 2022,111,0,212,138
24 Jul 2022,192.0952,12.619,364.9048,215.7619
25 Jul 2022,544.7901,7.321,897.4691,629.358
26 Jul 2022,564.1039,8.3766,967.961,629.6623
27 Jul 2022,1019.5844,5.8701,1581.961,1191.6753
28 Jul 2022,736.8,9.1733,1115.2267,866.3333
29 Jul 2022,397.025,11.8,678.075,492.675
30 Jul 2022,111.9167,7.1667,173.6667,136.5833
31 Jul 2022,98.875,7.1875,172.0625,120.5625
