category,Average BytesAcked,Minimum BytesAcked,Maximum BytesAcked,Median BytesAcked
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,29442.6667,4695.1481,54692.5556,29758.2593
5 Jul 2022,28709.8649,4711.3243,53142.8108,29177.3514
6 Jul 2022,29711.2167,4694.4,54899.35,30388.7833
7 Jul 2022,29318.7465,4692.4085,54351.4225,29767.8732
8 Jul 2022,28946.7538,4695.9538,53683.2308,29441.2615
9 Jul 2022,28945.8077,4700.6154,53530.5769,29500.0769
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,29065.9545,4609.9318,54181.9545,29560.7727
14 Jul 2022,28999.9271,4638.8542,53716.7917,29464.8333
15 Jul 2022,28819.6667,4672.7037,53186.4444,29537.963
16 Jul 2022,29001.4902,4703.5098,53611.1569,29591.1373
17 Jul 2022,28204.9091,4718.2727,52330.7273,28903.4545
18 Jul 2022,29442.974,4697.2857,54672.4416,30058.6883
19 Jul 2022,29369.0769,4700.6154,54267.2308,30050.7436
20 Jul 2022,29324.0313,4676.0938,54446.2656,29912.6094
21 Jul 2022,28390.8448,4706.2414,51902.2759,29143.0172
22 Jul 2022,28986.8571,4731.9143,53497.1429,29524.9714
23 Jul 2022,28966,4755,53783,30387
24 Jul 2022,28844.7273,4718.2727,53918.5909,29050.6364
25 Jul 2022,28460.0233,4731.5116,52795.9767,28789.6977
26 Jul 2022,28852.4889,4723.5778,52982.3,29505.3889
27 Jul 2022,29505.45,4709.55,54615.3625,30111.5875
28 Jul 2022,29061.0263,4723.1053,53565.5921,29786.0132
29 Jul 2022,28475.2045,4736.6364,52204.1136,29333.8182
30 Jul 2022,28711.4706,4731.2353,51715.6471,29201.8235
31 Jul 2022,28836.3684,4755,51524.6316,29691.2632
