category,Average BytesReceived,Minimum BytesReceived,Maximum BytesReceived,Median BytesReceived
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,943.6667,785,1145.3333,938.3333
5 Jul 2022,981.9459,785,1229.5946,977.6486
6 Jul 2022,1069.7119,785,1402.3729,1081.8475
7 Jul 2022,1000.2958,785,1263.6056,1002.9014
8 Jul 2022,962.7619,785,1191.5873,967.1429
9 Jul 2022,1027.6296,785,1315.9259,1028.0741
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,1189.6977,795.4651,1642.5581,1203.8372
14 Jul 2022,1185.7708,792.9167,1628.1458,1202.8125
15 Jul 2022,1153.7778,785,1594.4444,1168.037
16 Jul 2022,1194.1765,785,1651.2745,1209.9412
17 Jul 2022,1190.7273,785,1631,1206
18 Jul 2022,1171.6883,785,1615.1299,1184.6753
19 Jul 2022,1110.4026,785,1490.6104,1114.7662
20 Jul 2022,1072.4688,785,1421.7031,1074.8906
21 Jul 2022,1069.8889,785,1409.0556,1077.1481
22 Jul 2022,1033.6571,785,1338.2571,1038.9143
23 Jul 2022,816,785,879,809
24 Jul 2022,890.2381,785,1037.9048,890.2857
25 Jul 2022,955.2099,785,1168.5432,962.0988
26 Jul 2022,937.961,785,1136.5844,941.7143
27 Jul 2022,990.6104,785,1248.2857,998.8182
28 Jul 2022,927.5867,785,1105.2267,933.3067
29 Jul 2022,901.175,785,1055.25,903.225
30 Jul 2022,872.9167,785,1004.3333,875.25
31 Jul 2022,869.6875,785,990.625,877.625
