category,Average BytesReceived,Minimum BytesReceived,Maximum BytesReceived,Median BytesReceived
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,1653531.3704,87398.4444,3057611.0741,1726456.4444
5 Jul 2022,2285947.8108,62123.8649,3990990.0811,2470620.9459
6 Jul 2022,2768400.2667,52244.7667,4899334.8,3000797.4667
7 Jul 2022,2089360.7324,64961.2113,3890079.4648,2187843.4648
8 Jul 2022,1089676.9385,52076.2615,1912556.6308,1142031.1692
9 Jul 2022,3883911.3077,89310.2308,7322430.2308,4125612.8077
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,2252489.7727,71172.8182,3950406.6136,2388037.9773
14 Jul 2022,3918472.6042,118691.2083,7204448.5625,4123034.8125
15 Jul 2022,2885612.7778,26842.3333,5861373.7778,2830317.5556
16 Jul 2022,6517695.9608,189772.9608,12266617.1373,6866830.4902
17 Jul 2022,5990150.8182,151989.5455,11079119.6364,6258609.7273
18 Jul 2022,1667773.2857,50371.1299,3029139.9351,1749684.1558
19 Jul 2022,1826348.4231,42295.6923,3463116.6154,1903219.2308
20 Jul 2022,2688905.4063,42954.9375,4991224.7344,2832317.6719
21 Jul 2022,2011708.5345,73796.1724,3599466.3966,2108260.3966
22 Jul 2022,2177054.0286,72391.4571,3957096.9429,2291685.0857
23 Jul 2022,1022265,401091,1582545,1050021
24 Jul 2022,1695971.3636,97345.3636,2718252.5,1827456.0909
25 Jul 2022,1134280.5233,91608.2558,1853178.4651,1217294.3605
26 Jul 2022,916417.5889,82285.4889,1551648.6111,955865.8333
27 Jul 2022,2076014.4375,76174.1,3805967.5375,2196638.4375
28 Jul 2022,971200.4868,122226.9211,1550080.2763,1030587.7895
29 Jul 2022,397651.8182,49395.4091,692619.7727,407248.0455
30 Jul 2022,862761.0588,133274.2941,1435802.5882,864424.2941
31 Jul 2022,983810.2632,229916.6842,1562733.9474,1010019.8421
