category,Average NotsentBytes,Minimum NotsentBytes,Maximum NotsentBytes,Median NotsentBytes
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,1589827.9259,496926.8889,2100814.0741,1773048.6667
5 Jul 2022,1536867.2432,326694.4324,2026083.5676,1810878
6 Jul 2022,2214076.3051,432501.2881,2986272.2034,2567095.322
7 Jul 2022,1891262.6761,472392.7606,2455635.3662,2160061.0845
8 Jul 2022,1707503.3968,322145.7143,2327829.7143,2029392.9524
9 Jul 2022,1634822.7407,327708.2222,2119936.8889,1934919.1111
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,2190343.7674,398637.6279,2910313.6744,2471255.3023
14 Jul 2022,1790936.5833,337610.4375,2390441.1875,1957184.9063
15 Jul 2022,2347866.7778,327456.4444,3085643.8889,2723243.2963
16 Jul 2022,2060162.3922,354747.451,2755021.8235,2427457.4706
17 Jul 2022,806871.9091,329877.8182,1145524.6364,812287.6364
18 Jul 2022,1810095.039,323325.1169,2400385.3896,2061694.6753
19 Jul 2022,1877691.8701,308970.3117,2496436.8571,2189767.8701
20 Jul 2022,2159083.375,370254.6875,2852634.9219,2514815.4375
21 Jul 2022,2081562.5,329490.1296,2771627.7778,2417529.9815
22 Jul 2022,2008583.8,425878.9714,2636845.0571,2281723.5429
23 Jul 2022,674352,381330,818856,792096
24 Jul 2022,867287.1905,261875.4286,1247135.1429,1009224.4286
25 Jul 2022,1309010.0988,314273.037,1775337.3951,1529487.4198
26 Jul 2022,1159110.961,307073.7662,1557065.6883,1310012.013
27 Jul 2022,1462168.6623,310921.3247,1895959.8701,1670282.7662
28 Jul 2022,1221111.3067,367754.2667,1571613.6,1382297.44
29 Jul 2022,1136437.525,357217.7,1484601.9,1319285.75
30 Jul 2022,417048.25,216533,487032,461498.5
31 Jul 2022,442115.5625,186901.875,551925,520983.75
