category,Average NotsentBytes,Minimum NotsentBytes,Maximum NotsentBytes,Median NotsentBytes
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,4.6296,0,130,65
5 Jul 2022,117.3784,0,633.6216,47.2973
6 Jul 2022,22.8333,0,233.65,0
7 Jul 2022,30.0563,0,214.169,0.3099
8 Jul 2022,42.2615,0,233.2154,196.7538
9 Jul 2022,3.1538,0,89.6923,0
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,0,0,0,0
14 Jul 2022,1.5625,0,36.8021,0
15 Jul 2022,0,0,0,0
16 Jul 2022,0.0392,0,1.6863,0
17 Jul 2022,0,0,0,0
18 Jul 2022,1.1169,0,30.4286,0
19 Jul 2022,48.9615,0,232.641,0
20 Jul 2022,20.6719,0,181.0938,0
21 Jul 2022,202.7586,0,921.7241,141.3621
22 Jul 2022,96.9429,0,448.6286,100.8571
23 Jul 2022,0,0,0,0
24 Jul 2022,171.7273,0,1438.4545,107.3636
25 Jul 2022,62.5581,0,314.8023,61.3023
26 Jul 2022,467.6889,0,2160.9333,352.1889
27 Jul 2022,121.45,0,610.525,72.1875
28 Jul 2022,295.3684,0,1183.0395,214.6053
29 Jul 2022,713.75,0,2158.3409,518.2273
30 Jul 2022,655.2941,0,3595.5882,379.0588
31 Jul 2022,320.4211,0,2288.5789,0
