category,Average DataSegsIn,Minimum DataSegsIn,Maximum DataSegsIn,Median DataSegsIn
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,6.5556,3,10.963,6.5185
5 Jul 2022,7.2162,3.027,12.6216,7.3243
6 Jul 2022,9.2203,3.0339,16.3051,9.5254
7 Jul 2022,7.6197,3.0282,13.3239,7.7887
8 Jul 2022,6.8889,3.0159,11.9206,7.0952
9 Jul 2022,8.2963,3,14.4074,8.4074
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,11.4884,3,21.186,11.907
14 Jul 2022,11.4271,3,20.8438,11.875
15 Jul 2022,10.7778,3,20.2222,11.2222
16 Jul 2022,11.7451,3.0196,21.451,12.1569
17 Jul 2022,11.7273,3,21.0909,12.0909
18 Jul 2022,11.3766,3.0909,20.9351,11.8312
19 Jul 2022,10.0519,3.0779,18.1558,10.2987
20 Jul 2022,9.2188,3,16.6406,9.3438
21 Jul 2022,9.1481,3,16.3333,9.3889
22 Jul 2022,8.3714,3.0286,14.9714,8.6
23 Jul 2022,4,3,5,4
24 Jul 2022,5.2857,3,8.5238,5.381
25 Jul 2022,6.6296,3,11.321,6.9506
26 Jul 2022,6.3247,3,10.5714,6.5325
27 Jul 2022,7.4156,3,12.8831,7.7403
28 Jul 2022,6.0267,3,9.8133,6.2533
29 Jul 2022,5.475,3.025,8.825,5.675
30 Jul 2022,5,3,7.6667,5.0833
31 Jul 2022,4.875,3,7.375,5.0625
