category,Average DataSegsIn,Minimum DataSegsIn,Maximum DataSegsIn,Median DataSegsIn
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,1097.9259,68.9259,2020.2222,1146.963
5 Jul 2022,1503,49.3514,2634.5135,1612.8919
6 Jul 2022,1802.6,38.4167,3205,1945.95
7 Jul 2022,1369.2113,49.3239,2555.9296,1427.6197
8 Jul 2022,746.4462,40.2154,1302.3538,783.1846
9 Jul 2022,2486.7308,63.5,4702.1538,2633.8077
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,1504.6818,53.2955,2653.5455,1590.2727
14 Jul 2022,2682.5833,84.4792,4940.1563,2819.4063
15 Jul 2022,2007.1481,22.2963,4069.5185,1959.1481
16 Jul 2022,4664.3529,141.9608,8763.9216,4906.902
17 Jul 2022,4482.0909,116.1818,8305,4696
18 Jul 2022,1193.0649,41.4026,2156.013,1248.7013
19 Jul 2022,1298.6795,34.8205,2450.359,1350.4744
20 Jul 2022,1896.625,36.0156,3506.4063,1991.9063
21 Jul 2022,1423.3103,60.9828,2538.7069,1488.7586
22 Jul 2022,1543,56.3143,2794.4571,1622.3714
23 Jul 2022,770,322,1184,787
24 Jul 2022,1224.4545,75.1818,1958.9545,1316.3636
25 Jul 2022,825.8605,72.6977,1346.2442,883.5116
26 Jul 2022,673.0222,65.8333,1134.5444,700.8333
27 Jul 2022,1483.4,60.175,2708,1565.975
28 Jul 2022,712,95.0921,1134.4342,754.1842
29 Jul 2022,297.8864,44.5455,516.0227,304.4318
30 Jul 2022,653.1765,103.5294,1083.0588,655.7647
31 Jul 2022,740.7368,175.7895,1175.4211,760.1579
