category,Average Delivered,Minimum Delivered,Maximum Delivered,Median Delivered
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,4298.963,123.6296,8902.1852,4459.9259
5 Jul 2022,4415.2973,95.5946,9255.1081,4494
6 Jul 2022,7131.7797,71.4746,15440.7797,7359.0339
7 Jul 2022,5549.2394,107.8873,11768.0423,5721.2817
8 Jul 2022,4024.0952,85.9048,8848,4168.6508
9 Jul 2022,5793.2963,53.5185,12049.0741,5952
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,9620,129.5349,20470.6047,9945.3023
14 Jul 2022,8156.5417,167.5417,17733,8320.3646
15 Jul 2022,8220.1852,41.5185,18101.2222,8406.0741
16 Jul 2022,8920.549,91.9804,19161.1373,9073.1961
17 Jul 2022,5604.5455,226.1818,12417.5455,5320.5455
18 Jul 2022,7569.1039,120.0779,16399.1948,7753.1558
19 Jul 2022,6787.4286,84.2727,15042.1299,6828.1948
20 Jul 2022,6978.9375,56.8594,15342.2656,7004.1406
21 Jul 2022,6781.7222,51.4074,14689.1852,7047.2407
22 Jul 2022,5855.4,87.4571,12788.0286,5972.1143
23 Jul 2022,611,223,1146,563
24 Jul 2022,1448.2381,108.0476,3379.4762,1377.7143
25 Jul 2022,3115.1605,106.5432,6866.6914,3255.1358
26 Jul 2022,2701.2078,91.1818,5860.5195,2809.5455
27 Jul 2022,4550.1688,67.8312,9666.961,4770.7143
28 Jul 2022,3193.32,112.64,6585.1067,3385.8
29 Jul 2022,1974.7,126.5,4282.175,2069.075
30 Jul 2022,506.4167,113,879.0833,577.25
31 Jul 2022,412.125,85.25,799.4375,435.5
