category,Average Delivered,Minimum Delivered,Maximum Delivered,Median Delivered
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,48.4074,5.7037,91.6296,49.037
5 Jul 2022,47.1081,5.7838,88.3243,48.027
6 Jul 2022,48.7,5.7667,91.7167,49.9167
7 Jul 2022,48.2254,5.7465,90.8732,49.0141
8 Jul 2022,47.6923,5.7385,89.7538,48.6462
9 Jul 2022,47.9615,5.7308,89.9615,49
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,47.9091,5.7045,90.9091,48.8182
14 Jul 2022,47.7396,5.7917,89.9792,48.5104
15 Jul 2022,47.4074,5.6296,89.1481,48.7778
16 Jul 2022,47.549,5.7451,89.5098,48.7255
17 Jul 2022,47.9091,5.8182,89.6364,49.2727
18 Jul 2022,48.9091,5.8052,92.0909,50.039
19 Jul 2022,48.7564,5.8333,91.6026,50.0256
20 Jul 2022,48.2344,5.6719,91.0625,49.3125
21 Jul 2022,46.5,5.8448,86.7414,47.8966
22 Jul 2022,47.5143,5.9143,89.2857,48.3143
23 Jul 2022,49,6,92,52
24 Jul 2022,47.3182,5.8636,88.9091,48.1364
25 Jul 2022,46.8372,5.8953,87.9651,47.4884
26 Jul 2022,47.1444,5.8778,87.4889,48.3667
27 Jul 2022,48.4,5.775,90.9,49.525
28 Jul 2022,47.7368,5.8684,89.0921,48.9211
29 Jul 2022,47.3864,5.9318,88.0227,48.8864
30 Jul 2022,46.4706,5.8824,84.7059,47.1765
31 Jul 2022,47.4737,6,85.6842,49.2105
