category,Average BytesSent,Minimum BytesSent,Maximum BytesSent,Median BytesSent
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,7578337.3704,282789.037,14708141.037,7971154.4444
5 Jul 2022,7845439.3784,211554.4595,15403272.7027,8078453.2703
6 Jul 2022,12553656.9322,187860.1525,25430744.6271,13204764.7797
7 Jul 2022,9716253.3239,255705.6197,19337682.8028,10130673.3662
8 Jul 2022,6937875.2381,189411.1746,14367258.0476,7292498.6349
9 Jul 2022,10464122.7778,123279.4444,20215365.4815,10892049.4815
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,15562633.9535,254019.3256,31581942.9767,16289235.814
14 Jul 2022,12843461.9271,297608.125,26754170.2708,13258624.2604
15 Jul 2022,14143559.1481,106059.8889,29374096.7037,14682343.7037
16 Jul 2022,14850934.0784,205734.1765,30186161.6667,15309936.2549
17 Jul 2022,7646092,396124.6364,16771663.3636,7282020
18 Jul 2022,12326479.0779,229170.8312,25411542.1818,12834571.8182
19 Jul 2022,11430435.5974,179878.7532,23991405.2468,11771621.1558
20 Jul 2022,12370603.2031,142623.8125,25538900.8125,12734660.7969
21 Jul 2022,12007279.7963,130407.3889,24507070.8704,12666034.5185
22 Jul 2022,10161708.1143,196594.5143,21007639.2571,10522885.3429
23 Jul 2022,1012949,429135,1819317,941589
24 Jul 2022,2403283.5714,222770.4286,5368940.3333,2323012.0952
25 Jul 2022,5375825.8272,223079.2222,11183631.8889,5701838.6173
26 Jul 2022,4767187.5195,205157.0909,9809461.6623,5004458.039
27 Jul 2022,8117437.1688,162207.3117,16175099.5844,8650727.9351
28 Jul 2022,5714091.4667,247669.8,11034449.68,6134201.84
29 Jul 2022,3454587.375,263757.675,7089464.725,3685091.475
30 Jul 2022,841727.25,210733.9167,1410696.9167,958341.4167
31 Jul 2022,711591.5,176861.8125,1305381.1875,759853.5
