category,Average PMTU,Minimum PMTU,Maximum PMTU,Median PMTU
1 Jun 2022,705843.1628,94315.5349,797063.907,790518.907
2 Jun 2022,737875.1389,168200.7222,817030.8333,798752
3 Jun 2022,967452.7759,181862.4828,1130164.5517,1055717.8966
4 Jun 2022,1455648.4348,181425.2174,1695591.6522,1600292.5217
5 Jun 2022,1022288.7632,260436.4211,1249840.2105,1146028.1053
6 Jun 2022,1481586.1,133941.28,1713430.08,1628547.52
7 Jun 2022,692674.5125,138473.15,786499.9,758156.8
8 Jun 2022,854251.4211,96698.4561,1002657.0526,951374.1754
9 Jun 2022,925486.5233,148505.1628,1059067.5814,1004316.3488
10 Jun 2022,604090,134781.3846,662330.7692,644225.3077
11 Jun 2022,1007295.8507,140493.194,1174133.0149,1094783.9403
12 Jun 2022,1264574.8077,208143.6154,1756334,1270597.0769
13 Jun 2022,608421.7195,119840.439,906165.3659,615828.2439
14 Jun 2022,595199.1149,110098.2989,785836.4138,631560.2529
15 Jun 2022,589497.2093,108667.6279,647685.3953,638451.8605
16 Jun 2022,437861.0309,119780.2474,505168.6186,467635.3402
17 Jun 2022,2421711,358492,2911232,2911232
18 Jun 2022,0,0,0,0
19 Jun 2022,0,0,0,0
20 Jun 2022,0,0,0,0
21 Jun 2022,0,0,0,0
22 Jun 2022,0,0,0,0
23 Jun 2022,0,0,0,0
24 Jun 2022,0,0,0,0
25 Jun 2022,0,0,0,0
26 Jun 2022,0,0,0,0
27 Jun 2022,0,0,0,0
28 Jun 2022,0,0,0,0
29 Jun 2022,0,0,0,0
30 Jun 2022,0,0,0,0
