category,Average TotalRetrans,Minimum TotalRetrans,Maximum TotalRetrans,Median TotalRetrans
1 Jun 2022,1218.4353,1.9647,1844.6353,1460.7647
2 Jun 2022,750.9861,5.6944,1156.4861,858.9444
3 Jun 2022,626.7414,1.6379,997.569,701.6724
4 Jun 2022,1375.2174,0,2047.1739,1548.4783
5 Jun 2022,1000.6757,2.1622,1464.4595,1111.5135
6 Jun 2022,1352.2692,0.0769,2127.3462,1619.9615
7 Jun 2022,1094.9136,10.9136,1743.0741,1260.8889
8 Jun 2022,1296.6071,2.7143,1928.3571,1484.6429
9 Jun 2022,641.0349,10.1512,1020.1977,751.907
10 Jun 2022,426.4615,6.8654,678.9615,522.1923
11 Jun 2022,1118.3939,6.6364,1667.697,1244.4848
12 Jun 2022,886.2075,0.0943,1355.1321,1037.5472
13 Jun 2022,732.0122,0.5122,1166.5244,846.0122
14 Jun 2022,619.8409,5.9318,995.4205,733.4545
15 Jun 2022,575.7907,2.0233,983.6977,691.6744
16 Jun 2022,795.5052,6.1031,1265.8969,951.3402
17 Jun 2022,2362,0,3760,2916
18 Jun 2022,0,0,0,0
19 Jun 2022,0,0,0,0
20 Jun 2022,0,0,0,0
21 Jun 2022,0,0,0,0
22 Jun 2022,0,0,0,0
23 Jun 2022,0,0,0,0
24 Jun 2022,0,0,0,0
25 Jun 2022,0,0,0,0
26 Jun 2022,0,0,0,0
27 Jun 2022,0,0,0,0
28 Jun 2022,0,0,0,0
29 Jun 2022,0,0,0,0
30 Jun 2022,0,0,0,0
