category,Average BytesReceived,Minimum BytesReceived,Maximum BytesReceived,Median BytesReceived
1 Jun 2022,1634744.5349,36469.1163,3079075.093,1706432.1047
2 Jun 2022,2138924.375,102568.6111,3956820.6944,2229772.9444
3 Jun 2022,3316112.8276,133544.1724,5961050.6897,3433198.7586
4 Jun 2022,5903864.0435,113735.3478,10914854.4783,6235430.087
5 Jun 2022,4242846.3684,174166.2632,7950690.5,4571006.4737
6 Jun 2022,4836140.3,68572.08,9183802.48,5156213.86
7 Jun 2022,1485499.0625,64712.475,2681397.225,1558773.7125
8 Jun 2022,2169560.7018,40328.2632,3973386.5789,2301023.3158
9 Jun 2022,1854051.1628,72957.3256,3429845.5116,1920740.907
10 Jun 2022,1174303.1923,76539.5385,2026318.6538,1235875.9808
11 Jun 2022,3369459.9104,92149.7463,6284547.8955,3542336.806
12 Jun 2022,5439351.4038,146945.0769,10372477.3846,5695737.9231
13 Jun 2022,1521473.0976,64921.6829,2888839.1463,1544699.4512
14 Jun 2022,1454163.2759,53579,2698009.7816,1540023.4713
15 Jun 2022,1215650.6047,35924.0233,2147363.8605,1240090.9535
16 Jun 2022,829347.0103,67511.7423,1413722.0206,872766.9485
17 Jun 2022,8195056,214521,15731169,8326989
18 Jun 2022,0,0,0,0
19 Jun 2022,0,0,0,0
20 Jun 2022,0,0,0,0
21 Jun 2022,0,0,0,0
22 Jun 2022,0,0,0,0
23 Jun 2022,0,0,0,0
24 Jun 2022,0,0,0,0
25 Jun 2022,0,0,0,0
26 Jun 2022,0,0,0,0
27 Jun 2022,0,0,0,0
28 Jun 2022,0,0,0,0
29 Jun 2022,0,0,0,0
30 Jun 2022,0,0,0,0
