category,Average SegsOut,Minimum SegsOut,Maximum SegsOut,Median SegsOut
1 Jun 2022,683.6279,33.2326,1239.5814,713.186
2 Jun 2022,906.9722,69.3194,1633.1528,943.3889
3 Jun 2022,1311.2759,78.931,2330.4138,1353.431
4 Jun 2022,2171.8696,71.913,3961,2284
5 Jun 2022,1610.3684,107.6842,2954.5526,1721.2632
6 Jun 2022,1829.9,47.1,3378.28,1941.44
7 Jun 2022,662.4875,48.7875,1145.025,696.475
8 Jun 2022,856.3684,30.9649,1534.0877,902.5263
9 Jun 2022,795.1395,54.7791,1420.2093,821.186
10 Jun 2022,558.6538,56.0192,934.9615,586.3654
11 Jun 2022,1329.3433,58.1343,2402.1493,1394.3134
12 Jun 2022,2045.8462,89.0577,3833.4231,2131.8462
13 Jun 2022,668.9756,45.6951,1246.1098,677.9878
14 Jun 2022,629.4483,41.8276,1145.2644,661.7126
15 Jun 2022,546.7907,32.4651,932,560.6512
16 Jun 2022,425.7835,48.9485,710.7113,446.4227
17 Jun 2022,2904,137,5532,2927
18 Jun 2022,0,0,0,0
19 Jun 2022,0,0,0,0
20 Jun 2022,0,0,0,0
21 Jun 2022,0,0,0,0
22 Jun 2022,0,0,0,0
23 Jun 2022,0,0,0,0
24 Jun 2022,0,0,0,0
25 Jun 2022,0,0,0,0
26 Jun 2022,0,0,0,0
27 Jun 2022,0,0,0,0
28 Jun 2022,0,0,0,0
29 Jun 2022,0,0,0,0
30 Jun 2022,0,0,0,0
