category,Average SegsIn,Minimum SegsIn,Maximum SegsIn,Median SegsIn
1 Jun 2022,4147.8824,92.6941,8822.1529,4250.5647
2 Jun 2022,5500.7361,235.7361,11154.6111,5640.7639
3 Jun 2022,5540.0345,174.0345,11263.9655,5707.8448
4 Jun 2022,5953.4348,172.913,12044.9565,6081.6957
5 Jun 2022,4780.8919,151.0541,9928.027,4782.7838
6 Jun 2022,4167.2692,82.8077,8682.2885,4269.9615
7 Jun 2022,4109.5432,114.0123,8588.3704,4171.6049
8 Jun 2022,3505.7321,46.2857,7429.1964,3625.7143
9 Jun 2022,1937.7442,81.7442,4175.093,1960.9535
10 Jun 2022,1098.6538,68.5192,2388,1111.0577
11 Jun 2022,3001.8939,86.8939,6244.3182,3074.6364
12 Jun 2022,4475.3962,96.4528,9406.8113,4550
13 Jun 2022,4864.9268,117.8659,9863.8659,5029.6463
14 Jun 2022,3969.8182,139.5341,8284.5682,4079.3182
15 Jun 2022,2486.4186,72.1163,5500.8605,2589.093
16 Jun 2022,1921.3402,76.8763,4051.4948,2048.5052
17 Jun 2022,5790,25,13014,5526
18 Jun 2022,0,0,0,0
19 Jun 2022,0,0,0,0
20 Jun 2022,0,0,0,0
21 Jun 2022,0,0,0,0
22 Jun 2022,0,0,0,0
23 Jun 2022,0,0,0,0
24 Jun 2022,0,0,0,0
25 Jun 2022,0,0,0,0
26 Jun 2022,0,0,0,0
27 Jun 2022,0,0,0,0
28 Jun 2022,0,0,0,0
29 Jun 2022,0,0,0,0
30 Jun 2022,0,0,0,0
