category,Average DataSegsOut,Minimum DataSegsOut,Maximum DataSegsOut,Median DataSegsOut
1 Jun 2022,10947.1647,260.5647,22481.6706,11403.4353
2 Jun 2022,11955.3194,455.1528,24025.7639,12326.1111
3 Jun 2022,12815.569,323.5,25757.4828,13316.8448
4 Jun 2022,13007.4783,360.6087,25816.3043,13354.4348
5 Jun 2022,12433.2703,416.7838,25109.6757,12640.8649
6 Jun 2022,10888.1538,239.8846,21735.4808,11451.9615
7 Jun 2022,11070.5432,315.1358,22327.3951,11452.5432
8 Jun 2022,7684.625,122.6964,15318,8045.2679
9 Jun 2022,4413.5581,204.2442,9066.5349,4559.2558
10 Jun 2022,3027.0577,177.7885,6304.6154,3113.1346
11 Jun 2022,7257.7879,216.6667,14306.5,7552.4545
12 Jun 2022,11737.6604,252.0377,24191.2642,11992.4906
13 Jun 2022,15096.2439,342.7073,30299.3902,15621.378
14 Jun 2022,13698.9432,418.2386,28318.9432,14202.8523
15 Jun 2022,7607.4651,192.6977,16076.907,8000.2558
16 Jun 2022,4744.0103,188.6701,9462.6082,5159.0206
17 Jun 2022,12469,80,26285,12672
18 Jun 2022,0,0,0,0
19 Jun 2022,0,0,0,0
20 Jun 2022,0,0,0,0
21 Jun 2022,0,0,0,0
22 Jun 2022,0,0,0,0
23 Jun 2022,0,0,0,0
24 Jun 2022,0,0,0,0
25 Jun 2022,0,0,0,0
26 Jun 2022,0,0,0,0
27 Jun 2022,0,0,0,0
28 Jun 2022,0,0,0,0
29 Jun 2022,0,0,0,0
30 Jun 2022,0,0,0,0
