category,Average DeliveryRate,Minimum DeliveryRate,Maximum DeliveryRate,Median DeliveryRate
1 Jun 2022,90744.8372,83127.6512,94097.2558,91547.6628
2 Jun 2022,141424.7222,134504.1944,145930.2222,141968.3472
3 Jun 2022,160190.1897,152939.7931,162142.6379,160209.9483
4 Jun 2022,115503.5217,96804.6522,124773.6522,114452.6957
5 Jun 2022,124956.2368,114115.1579,128865.5526,125250.4211
6 Jun 2022,79865.08,68965.1,84314.46,79149.14
7 Jun 2022,95924.7,87941.75,98824.55,96266.2
8 Jun 2022,78834.1053,62103.2632,87755.1228,77929
9 Jun 2022,121373.0465,88303.2907,135424.9186,124190.1279
10 Jun 2022,160345.6731,122869.8462,174577.7115,168333.9231
11 Jun 2022,108159.9701,82668.791,120785.0448,109602.9403
12 Jun 2022,145915.1154,122564.3269,152755.5769,145875.6346
13 Jun 2022,127181.561,106693.2073,134433.622,127601.1829
14 Jun 2022,115859.7241,96690.977,121864,117369.5057
15 Jun 2022,92441.0465,82930.2558,98542.6977,94282.8837
16 Jun 2022,116900.1031,89615.3918,124887.299,120396.7423
17 Jun 2022,55089,55089,55089,55089
18 Jun 2022,0,0,0,0
19 Jun 2022,0,0,0,0
20 Jun 2022,0,0,0,0
21 Jun 2022,0,0,0,0
22 Jun 2022,0,0,0,0
23 Jun 2022,0,0,0,0
24 Jun 2022,0,0,0,0
25 Jun 2022,0,0,0,0
26 Jun 2022,0,0,0,0
27 Jun 2022,0,0,0,0
28 Jun 2022,0,0,0,0
29 Jun 2022,0,0,0,0
30 Jun 2022,0,0,0,0
