category,Average BusyTime,Minimum BusyTime,Maximum BusyTime,Median BusyTime
1 Jun 2022,1920245.407,175348.8372,3722651.1628,1942209.3023
2 Jun 2022,1406214.1528,103333.3333,2760055.5556,1431277.7778
3 Jun 2022,1423961.8966,92068.9655,2818965.5172,1448620.6897
4 Jun 2022,1655684.3043,130956.5217,3304173.913,1667043.4783
5 Jun 2022,1656209.3947,111157.8947,3367894.7368,1656736.8421
6 Jun 2022,2131374.12,175280,4156560,2175040
7 Jun 2022,1852337.275,161950,3571400,1873950
8 Jun 2022,2085983.1404,191228.0702,4014456.1404,2112771.9298
9 Jun 2022,1687520.4535,202232.5581,3249813.9535,1697697.6744
10 Jun 2022,1727790.1731,187307.6923,3345000,1707076.9231
11 Jun 2022,1640818,137731.3433,3244238.806,1658238.806
12 Jun 2022,1698877.8269,96769.2308,3585615.3846,1661307.6923
13 Jun 2022,1755184.9756,116682.9268,3639414.6341,1735243.9024
14 Jun 2022,1850792.3563,147356.3218,3665839.0805,1874896.5517
15 Jun 2022,2147117.3256,244651.1628,4076837.2093,2160000
16 Jun 2022,1616343.1546,171505.1546,3137731.9588,1626329.8969
17 Jun 2022,2090829,204000,3800000,2156000
18 Jun 2022,0,0,0,0
19 Jun 2022,0,0,0,0
20 Jun 2022,0,0,0,0
21 Jun 2022,0,0,0,0
22 Jun 2022,0,0,0,0
23 Jun 2022,0,0,0,0
24 Jun 2022,0,0,0,0
25 Jun 2022,0,0,0,0
26 Jun 2022,0,0,0,0
27 Jun 2022,0,0,0,0
28 Jun 2022,0,0,0,0
29 Jun 2022,0,0,0,0
30 Jun 2022,0,0,0,0
