category,Average Backoff,Minimum Backoff,Maximum Backoff,Median Backoff
1 Jun 2022,0,0,0.0116,0
2 Jun 2022,0,0,0.0139,0
3 Jun 2022,0,0,0.0172,0
4 Jun 2022,0,0,0,0
5 Jun 2022,0.0263,0,0.1842,0.0526
6 Jun 2022,0,0,0,0
7 Jun 2022,0,0,0,0
8 Jun 2022,0,0,0.0351,0
9 Jun 2022,0.0116,0,0.186,0.0116
10 Jun 2022,0.0769,0,0.25,0.0577
11 Jun 2022,0,0,0.0597,0
12 Jun 2022,0,0,0,0
13 Jun 2022,0,0,0.0244,0
14 Jun 2022,0,0,0.023,0
15 Jun 2022,0,0,0,0
16 Jun 2022,0,0,0,0
17 Jun 2022,0,0,0,0
18 Jun 2022,0,0,0,0
19 Jun 2022,0,0,0,0
20 Jun 2022,0,0,0,0
21 Jun 2022,0,0,0,0
22 Jun 2022,0,0,0,0
23 Jun 2022,0,0,0,0
24 Jun 2022,0,0,0,0
25 Jun 2022,0,0,0,0
26 Jun 2022,0,0,0,0
27 Jun 2022,0,0,0,0
28 Jun 2022,0,0,0,0
29 Jun 2022,0,0,0,0
30 Jun 2022,0,0,0,0
