category,Average BytesSent,Minimum BytesSent,Maximum BytesSent,Median BytesSent
1 Jun 2022,15263177.3059,352576.9176,31324728.2118,15914844.3529
2 Jun 2022,16357827.8611,610204.6667,32859934.5278,16868295.2361
3 Jun 2022,17455641.8966,434130.1034,35073310.9655,18139607.3103
4 Jun 2022,18030102.1304,485429.7391,35770241.7391,18515555.6087
5 Jun 2022,17077016.9459,562286.0541,34441045.1892,17373070.027
6 Jun 2022,15260802.8654,327373.7692,30470140.2115,16057251.5385
7 Jun 2022,15367179.2469,426788.716,31007741.7037,15901290.2222
8 Jun 2022,10955513.2679,168334.6071,21845158.1607,11468808.8571
9 Jun 2022,6260831.2209,272855.5814,12881548.0581,6463809.9651
10 Jun 2022,4286532.0192,239407.0769,8946741.1923,4403216.3077
11 Jun 2022,10246568.6818,296156.0909,20190423.0152,10661217.4394
12 Jun 2022,16086397.9057,335512.3396,33138501.9434,16457140.4528
13 Jun 2022,20535938.439,457932.2927,41219050.7195,21257379.9634
14 Jun 2022,18643270.4659,560089.5682,38546026.4318,19338819.2045
15 Jun 2022,10566780.186,257434.093,22344451.8605,11123990.0698
16 Jun 2022,6727966.2165,252827.7732,13438007.1959,7313442.2887
17 Jun 2022,17800347,110124,37529436,18089358
18 Jun 2022,0,0,0,0
19 Jun 2022,0,0,0,0
20 Jun 2022,0,0,0,0
21 Jun 2022,0,0,0,0
22 Jun 2022,0,0,0,0
23 Jun 2022,0,0,0,0
24 Jun 2022,0,0,0,0
25 Jun 2022,0,0,0,0
26 Jun 2022,0,0,0,0
27 Jun 2022,0,0,0,0
28 Jun 2022,0,0,0,0
29 Jun 2022,0,0,0,0
30 Jun 2022,0,0,0,0
