category,Average BytesSent,Minimum BytesSent,Maximum BytesSent,Median BytesSent
1 Jun 2022,28998.7209,4767.4884,53310.1163,29490.8837
2 Jun 2022,30034.4861,4758,55387.9167,30514.625
3 Jun 2022,30676.3621,4758,56701.931,31327.9138
4 Jun 2022,29646.3043,4781.5652,54524.6957,30270.913
5 Jun 2022,29652.5263,4758,54678.6842,30324.5263
6 Jun 2022,29864.8,4758,55038.42,30354.4
7 Jun 2022,29395.525,4781.5,54060.55,29932.975
8 Jun 2022,30440.6667,4842.7018,56160.5614,31023.1579
9 Jun 2022,31581.8372,5695.4419,57364.1512,32224.907
10 Jun 2022,30931.0192,5432.0769,55974.9231,31673.6538
11 Jun 2022,30167.6119,5037.8507,55461.5821,30811.3284
12 Jun 2022,30111.0577,4758,55535.7115,30647.5962
13 Jun 2022,30078.3415,4813.561,55463.9512,30548.3537
14 Jun 2022,30176.4828,4761.1264,55670.6092,30696.023
15 Jun 2022,29678.0233,4783.3023,54513.7209,30295.093
16 Jun 2022,31070.4536,5624.9072,56756.1649,31513.6289
17 Jun 2022,28214,4758,51728,29382
18 Jun 2022,0,0,0,0
19 Jun 2022,0,0,0,0
20 Jun 2022,0,0,0,0
21 Jun 2022,0,0,0,0
22 Jun 2022,0,0,0,0
23 Jun 2022,0,0,0,0
24 Jun 2022,0,0,0,0
25 Jun 2022,0,0,0,0
26 Jun 2022,0,0,0,0
27 Jun 2022,0,0,0,0
28 Jun 2022,0,0,0,0
29 Jun 2022,0,0,0,0
30 Jun 2022,0,0,0,0
